Metric|Essential True Mean|Essential True 95% CI low|Essential True 95% CI high|Essential False Mean|Essential False 95% CI low|Essential False 95% CI high|Permutation Test p-value|n|Essential True n|Essential False n
HC|0.0684931506849315|0.0273972602739726|0.1506849315068493|0.15418502202643172|0.1145374449339207|0.20704845814977973|0.08339166083391661|1|73|227
MR|0.1232876712328767|0.0547945205479452|0.2191780821917808|0.1145374449339207|0.07929515418502203|0.16299559471365638|0.9975002499750025|1|73|227
Hydrophob-Hydrophob|0.8493150684931506|0.7534246575342466|0.9178082191780822|0.8898678414096917|0.8458149779735683|0.9251101321585903|0.46635336466353366|2|73|227
StrHydrophob-StrHydrophob|0.7534246575342466|0.6438356164383562|0.8493150684931506|0.8325991189427313|0.7797356828193832|0.8766519823788547|0.17918208179182082|2|73|227
Aromatic-Aromatic|0.1506849315068493|0.0821917808219178|0.2465753424657534|0.36123348017621143|0.29955947136563876|0.42731277533039647|0.000999900009999|2|73|227
Hydrophil-Hydrophil|0.6301369863013698|0.5068493150684932|0.7397260273972602|0.6211453744493393|0.5594713656387665|0.6828193832599119|0.9995000499950005|2|73|227
Hydrophob-Aromatic|0.6575342465753424|0.547945205479452|0.7671232876712328|0.748898678414097|0.6872246696035242|0.801762114537445|0.17718228177182282|2|73|227
Hydrophob-Charged|0.7397260273972602|0.6301369863013698|0.8356164383561644|0.8193832599118943|0.7665198237885462|0.8678414096916299|0.19618038196180382|2|73|227
Hydrophob-NegCharged|0.547945205479452|0.4246575342465753|0.6575342465753424|0.5947136563876652|0.5286343612334802|0.6563876651982379|0.5537446255374463|2|73|227
Hydrophob-PosCharged|0.6712328767123288|0.5616438356164384|0.7671232876712328|0.7312775330396476|0.6696035242290749|0.7841409691629956|0.388961103889611|2|73|227
PosCharged-PosCharged|0.1506849315068493|0.0821917808219178|0.2465753424657534|0.16740088105726872|0.12334801762114538|0.22026431718061673|0.8987101289871013|2|73|227
NegCharged-NegCharged|0.0684931506849315|0.0273972602739726|0.1506849315068493|0.06607929515418502|0.039647577092511016|0.10572687224669604|1.0|2|73|227
FF-FY-SY-TY-HC|0.1506849315068493|0.0821917808219178|0.2465753424657534|0.27312775330396477|0.21585903083700442|0.33480176211453744|0.04659534046595341|2|73|227
FF|0.0|||0.09691629955947137|0.06167400881057269|0.14096916299559473|0.0035996400359964|2|73|227
FY|0.0136986301369863|0.0|0.0684931506849315|0.09691629955947137|0.06167400881057269|0.14096916299559473|0.022797720227977204|2|73|227
TY|0.0136986301369863|0.0|0.0684931506849315|0.04405286343612335|0.022026431718061675|0.07488986784140969|0.40675932406759324|2|73|227
SY|0.0136986301369863|0.0|0.0821917808219178|0.05286343612334802|0.030837004405286344|0.0881057268722467|0.26477352264773524|2|73|227
HC|0.0136986301369863|0.0|0.0821917808219178|0.05286343612334802|0.030837004405286344|0.0881057268722467|0.2615738426157384|2|73|227
MR|0.0958904109589041|0.0410958904109589|0.1780821917808219|0.01762114537444934|0.004405286343612335|0.039647577092511016|0.008799120087991202|2|73|227
Hydrophob-Hydrophob|0.7945205479452054|0.6972538463212536|0.8767123287671232|0.8502202643171806|0.7973568281938326|0.8942731277533039|0.34936506349365065|3|73|227
StrHydrophob-StrHydrophob|0.6712328767123288|0.5616438356164384|0.7671232876712328|0.7312775330396476|0.6696035242290749|0.788546255506608|0.39776022397760225|3|73|227
Aromatic-Aromatic|0.1095890410958904|0.0547945205479452|0.1917808219178082|0.21585903083700442|0.16740088105726872|0.27312775330396477|0.06419358064193581|3|73|227
Hydrophil-Hydrophil|0.547945205479452|0.4246575342465753|0.6575342465753424|0.5242290748898678|0.4581497797356828|0.5903083700440529|0.8309169083091691|3|73|227
Hydrophob-Aromatic|0.6164383561643836|0.4931506849315068|0.7123287671232876|0.6916299559471366|0.6255506607929515|0.748898678414097|0.29457054294570545|3|73|227
Hydrophob-Charged|0.684931506849315|0.5753424657534246|0.7808219178082192|0.7136563876651982|0.6519823788546255|0.7709251101321586|0.7487251274872513|3|73|227
