class,mean_Ess,lower_ci_Ess,upper_ci_Ess,mean_NonEss,lower_ci_NonEss,upper_ci_NonEss,pvalue,buff,spa
SHphob,0.4304527644754027,0.4159664780148019,0.4447104919460165,0.4212570212130266,0.412757693456827,0.4297131759784882,0.2713,CD,30
WHphob,0.2266575968654767,0.2154984762734,0.238577492381367,0.2553406035255453,0.2482820436211532,0.2626232446967433,0.0,CD,30
Hphil,0.3118332607749238,0.2984218545929473,0.3254353504571179,0.2875926949507021,0.2795768598745144,0.2957891395279355,0.0019,CD,30
Arom,0.1247764475402699,0.1155801044841097,0.1340879407923378,0.176868987152674,0.1707480579623543,0.1830781296683597,0.0,CD,30
pureHphob,0.4677879843273836,0.4536351763169351,0.4819383979103178,0.4871664176874813,0.478934493576337,0.4958208843740663,0.0215,CD,30
pureHphil,0.1361804527644754,0.1260339573356552,0.1462831954723552,0.115194054377054,0.1099492082461906,0.1201822527636689,0.0,CD,30
pureArom,0.0104327383543752,0.0076186329995646,0.0134958641706573,0.0388880340603525,0.035701747833881,0.042575440693158,0.0,CD,30
SHphob,0.4308067043970396,0.4164072703526338,0.4447104919460165,0.4212762922019719,0.412905213624141,0.4300138183447864,0.2661,CD,40
WHphob,0.2264120592076621,0.2141869830213321,0.238142141924249,0.2552364057364804,0.2481289214221691,0.2626251120406334,0.0,CD,40
Hphil,0.3124031345232912,0.2990857640400522,0.3273835437527209,0.2876114430833583,0.2797281147296086,0.2950403346280251,0.0021,CD,40
Arom,0.1249636482368306,0.1149325206791467,0.1351763169351328,0.1767514191813564,0.1702270690170301,0.1833731700029877,0.0,CD,40
pureHphob,0.4673920330866347,0.4525468001741402,0.4821506312581628,0.4873030325664774,0.4785591574544368,0.4957461906184642,0.0244,CD,40
pureHphil,0.1362211580322159,0.1262461906835002,0.1462831954723552,0.1152125037346877,0.1096485658798924,0.1206341499850612,0.0001,CD,40
pureArom,0.0104098824553765,0.0076186329995646,0.0134958641706573,0.0389854347176576,0.0358530026889752,0.042575440693158,0.0,CD,40
SHphob,0.4307823247714409,0.4168480626904658,0.4457988680888115,0.4213837470095693,0.4132008821770335,0.4297248803827751,0.2742,CD,50
WHphob,0.2261861123204179,0.2139747496734871,0.238789725729212,0.255232057416268,0.2481291118421052,0.26248504784689,0.0001,CD,50
Hphil,0.3120130605137135,0.2977797126686983,0.325206791467131,0.2875018690191387,0.2794520035885167,0.2955311752392344,0.002,CD,50
Arom,0.1248056160208968,0.1158032215933826,0.1338702655637788,0.176775269138756,0.170305023923445,0.1830143540669856,0.0,CD,50
pureHphob,0.4675167609925991,0.4516760992599042,0.4819383979103178,0.487087918660287,0.4790651166267943,0.4956657446172248,0.0216,CD,50
pureHphil,0.1361003482803656,0.1264693077927731,0.1458424031345233,0.1152219647129186,0.1098216955741626,0.1205162230861243,0.0002,CD,50
pureArom,0.0103963865912059,0.0076186329995646,0.0134958641706573,0.0388634120813397,0.0357356459330143,0.0420921800239234,0.0,CD,50
SHphob,0.4308837614279495,0.4174956464954288,0.4449336090552895,0.4201623750378673,0.4116934262344744,0.4284326719176007,0.206,CD,60
WHphob,0.2267888550282977,0.2135339573356552,0.2396658685241619,0.2547754468342926,0.2477260678582248,0.2624204786428355,0.0001,CD,60
