metric|Ess_metric|Ess_mean|Ess_mean_lb|Ess_mean_ub|Ess_median|Ess_median_lb|Ess_median_ub|NonEss_metric|NonEss_mean|NonEss_mean_lb|NonEss_mean_ub|NonEss_median|NonEss_median_lb|NonEss_median_ub|pvalues|buff|qvalue
Gn|Gn|0.7919328358208955|0.7581077578359808|0.8389827670180607|0.75279|0.60568|1.21515|Gn|0.7849094285714285|0.7613821363967993|0.8172860054156891|0.75081|0.60353|1.21777|0.306110149444495|CD|0.4031694651220178
N_term_thread|N_term_thread|1.1492537313432836|1.044776119402985|1.3432835820895523|1.0|1.0|3.0|N_term_thread|1.2758620689655171|1.1724137931034482|1.4367816091954022|1.0|1.0|5.0|0.2242846614941342|CD|0.31054799283803197
Gc|Gc|0.7992721052631578|0.7560595415792681|0.864852441478868|0.74601|0.60061|1.48551|Gc|0.8469113970588236|0.8141766785273159|0.8909878692044093|0.79724|0.61145|1.62443|0.0292999883825369|CD|0.1268383052824767
C_term_thread|C_term_thread|1.1929824561403508|1.0701754385964912|1.4736842105263157|1.0|1.0|3.0|C_term_thread|1.148148148148148|1.0814814814814817|1.2444444444444445|1.0|1.0|3.0|0.3893136596777107|CD|0.4472965451616251
loopsize|loopsize|98.68376068376068|83.2905982905983|118.66403919571434|67.0|16.0|407.0|loopsize|104.67708333333331|94.78946230311644|116.39236111111111|70.0|18.0|328.0|0.0944910676911712|CD|0.22184859370970633
num_zipper_nc|num_zipper_nc|13.555555555555555|10.923076923076923|17.5982905982906|7.0|1.0|57.0|num_zipper_nc|14.260416666666666|12.48263888888889|16.40277777777778|8.0|1.0|63.0|0.2900697369268527|CD|0.39159414485125116
perc_bb_loop|perc_bb_loop|0.2435406038395783|0.2088168008888977|0.2830200356999127|0.1842105263157894|0.013503909026297|0.7255813953488373|perc_bb_loop|0.2565784338476793|0.2348431642524339|0.2808742616995696|0.198547215496368|0.0409556313993174|0.7747524752475248|0.1178717382444791|CD|0.2357434764889582
num_loop_contacting_res|num_loop_contacting_res|155.86324786324786|137.9145299145299|178.2063923781826|113.0|47.0|495.0|num_loop_contacting_res|166.09722222222223|154.10763888888889|179.94444444444446|129.0|53.0|475.0|0.0860403671123617|CD|0.2204066181475017
num_cross_nearest_neighbors|num_cross_nearest_neighbors|40.05128205128205|37.81196581196581|43.333333333333336|36.0|27.0|77.0|num_cross_nearest_neighbors|43.39930555555556|41.239583333333336|46.25|37.0|28.0|105.0|0.060849264943823|CD|0.17294001615612853
ent_coverage|ent_coverage|0.1935319346763763|0.17276595001431|0.2166854994557661|0.1801566579634465|0.0376687988628287|0.4711538461538461|ent_coverage|0.2032846915152827|0.1918598682100293|0.2162201557865219|0.1818181818181818|0.0787623066104078|0.484375|0.1482880846996532|CD|0.25830827657358946
min_N_prot_depth_left|min_N_prot_depth_left|0.3171703246049703|0.2669438260220174|0.3702552911033844|0.2972085385878489|0.0171232876712328|0.7661016949152543|min_N_prot_depth_left|0.3733489923721577|0.3388983493218029|0.4085951182089762|0.3561643835616438|0.0156521739130434|0.815028901734104|0.0493744625311145|CD|0.15683652804001075
min_N_thread_depth_left|min_N_thread_depth_left|0.7034416041175401|0.6366515780624741|0.7623081640607513|0.7916666666666666|0.12|0.9822380106571936|min_N_thread_depth_left|0.7473939454521603|0.7073948962364683|0.7821990613766652|0.8472222222222222|0.0703125|0.9804878048780488|0.1748179582018027|CD|0.26971913551135274
min_N_thread_slippage_left|min_N_thread_slippage_left|214.82089552238807|165.70149253731344|277.74626865671644|141.0|5.0|817.0|min_N_thread_slippage_left|179.8505747126437|156.44827586206895|206.61500665340083|131.0|8.0|663.0|0.4843708098569637|CD|0.5337964026995109
min_C_prot_depth_right|min_C_prot_depth_right|0.3653574839394763|0.3064624688104203|0.4278068814142177|0.3348837209302325|0.0525451559934318|0.828002842928216|min_C_prot_depth_right|0.316154882810369|0.2823509149238123|0.3524079226824477|0.268|0.0569948186528497|0.7332053742802304|0.1121460542566737|CD|0.2357434764889582
