E4P1_N_ml,E4P1_N_mAU
0.137782,14.131348
0.13828,14.131651
0.138778,14.131045
0.139275,14.131651
0.139773,14.130062
0.140271,14.12733
0.140768,14.128875
0.141266,14.129151
0.141764,14.129242
0.142262,14.128778
0.142759,14.128115
0.143257,14.126701
0.143755,14.126586
0.144252,14.127492
0.14475,14.125922
0.145248,14.124993
0.145745,14.123415
0.146243,14.123214
0.146741,14.123119
0.147239,14.120449
0.147736,14.120126
0.148234,14.120463
0.148732,14.117807
0.149229,14.117127
0.149727,14.114691
0.150225,14.115301
0.150723,14.115048
0.15122,14.115425
0.151718,14.114069
0.152216,14.112509
0.152713,14.113383
0.153211,14.112281
0.153709,14.111024
0.154206,14.112532
0.154704,14.112774
0.155202,14.112718
0.1557,14.113329
0.156197,14.113279
0.156695,14.113103
0.157193,14.114041
0.15769,14.114803
0.158188,14.114284
0.158686,14.11519
0.159184,14.115526
0.159681,14.11772
0.160179,14.118642
0.160677,14.117071
0.161174,14.118409
0.161672,14.118557
0.16217,14.120625
0.162667,14.120393
0.163165,14.119884
0.163663,14.118184
0.164161,14.11928
0.164658,14.120562
0.165156,14.119823
0.165654,14.120536
0.166151,14.121655
0.166649,14.118793
0.167147,14.117651
0.167645,14.116916
0.168142,14.116726
0.16864,14.11688
0.169138,14.118037
0.169635,14.118423
0.170133,14.119498
0.170631,14.118555
0.171129,14.117096
0.171626,14.116791
0.172124,14.115801
0.172622,14.112825
0.173119,14.113472
0.173617,14.111818
0.174115,14.112157
0.174612,14.111599
0.17511,14.112051
0.175608,14.112266
0.176105,14.11301
0.176603,14.113096
0.177101,14.112386
0.177599,14.112692
0.178096,14.113024
0.178594,14.111567
0.179092,14.109688
0.17959,14.110164
0.180087,14.111189
0.180585,14.111917
0.181083,14.112135
0.18158,14.111535
0.182078,14.110116
0.182576,14.109016
0.183073,14.10889
0.183571,14.109282
0.184069,14.108654
0.184566,14.107988
0.185064,14.108937
0.185562,14.109881
0.18606,14.110153
0.186557,14.111044
0.187055,14.109738
0.187553,14.107223
0.188051,14.106305
0.188548,14.106091
0.189046,14.10628
0.189544,14.106718
0.190041,14.105893
0.190539,14.10457
0.191037,14.104899
0.191534,14.106196
0.192032,14.106845
0.19253,14.106115
0.193027,14.105764
0.193525,14.105616
0.194023,14.105317
0.194521,14.10488
0.195018,14.103994
0.195516,14.102889
0.196014,14.103084
0.196512,14.103746
0.197009,14.10322
0.197507,14.101899
0.198005,14.100749
0.198502,14.100544
0.199,14.099315
0.199498,14.099541
0.199995,14.099586
0.200493,14.098428
0.200991,14.09843
0.201488,14.098373
0.201986,14.097129
0.202484,14.097013
0.202982,14.097517
0.203479,14.096685
0.203977,14.095254
0.204475,14.09426
0.204973,14.094491
0.20547,14.093048
0.205968,14.091166
0.206466,14.090599
0.206963,14.090616
0.207461,14.091105
0.207959,14.090308
0.208456,14.088478
0.208954,14.087315
0.209452,14.086073
0.209949,14.086123
0.210447,14.086266
0.210945,14.086491
0.211443,14.085997
0.21194,14.085917
0.212438,14.087379
0.212936,14.090009
0.213434,14.089575
0.213931,14.088442
0.214429,14.08852
0.214927,14.08956
0.215424,14.089301
0.215922,14.090487
0.21642,14.091661
0.216917,14.090787
0.217415,14.088929
0.217913,14.091765
0.21841,14.093349
0.218908,14.094767
0.219406,14.09422
0.219904,14.094713
0.220401,14.095712
0.220899,14.096233
0.221397,14.096475
0.221895,14.097103
0.222392,14.095897
0.22289,14.096093
0.223388,14.095132
0.223885,14.096748
0.224383,14.096802
0.224881,14.096339
0.225378,14.093358
0.225876,14.093459
0.226374,14.095001
0.226871,14.095125
0.227369,14.094015
0.227867,14.093387
0.228365,14.093312
0.228862,14.09159
0.22936,14.090254
0.229858,14.091927
0.230356,14.093625
0.230853,14.091379
0.231351,14.091465
0.231849,14.090162
0.232346,14.093566
0.232844,14.090686
0.233342,14.093215
0.233839,14.09455
0.234337,14.095109
0.234835,14.095135
0.235332,14.096546
0.23583,14.094698
0.236328,14.09547
0.236826,14.094791
0.237323,14.093663
0.237821,14.093554
0.238319,14.093883
0.238816,14.09489
0.239314,14.093843
0.239812,14.094716
0.24031,14.096074
0.240807,14.096402
0.241305,14.097546
0.241803,14.09867
0.2423,14.098956
0.242798,14.099777
0.243296,14.097995
0.243793,14.09857
0.244291,14.100395
0.244789,14.100121
0.245287,14.102949
0.245784,14.101697
0.246282,14.101111
0.24678,14.102199
0.247277,14.102927
0.247775,14.102577
0.248273,14.103637
0.248771,14.103054
0.249268,14.102402
0.249766,14.103596
0.250264,14.10294
0.250761,14.103399
0.251259,14.101258
0.251757,14.100977
0.252254,14.099865
0.252752,14.099414
0.25325,14.100163
0.253748,14.100084
0.254245,14.100929
0.254743,14.100392
0.255241,14.100029
0.255738,14.102016
0.256236,14.101954
0.256734,14.098511
0.257232,14.098927
0.257729,14.097543
0.258227,14.096747
0.258725,14.096182
0.259222,14.093717
0.25972,14.092155
0.260218,14.092511
0.260716,14.092248
0.261213,14.09266
0.261711,14.091501
0.262209,14.091349
0.262706,14.092673
0.263204,14.093201
0.263702,14.094656
0.264199,14.095922
0.264697,14.097276
0.265195,14.097161
0.265693,14.096781
0.26619,14.09812
0.266688,14.097812
0.267186,14.097339
0.267683,14.096498
0.268181,14.095919
0.268679,14.094793
0.269177,14.095394
0.269674,14.094668
0.270172,14.094455
0.27067,14.094252
0.271167,14.094728
0.271665,14.09621
0.272163,14.096967
0.27266,14.098005
0.273158,14.099266
0.273656,14.098755
0.274154,14.099386
0.274651,14.099662
0.275149,14.100317
0.275647,14.099504
0.276144,14.098363
0.276642,14.097442
0.27714,14.097026
0.277638,14.096722
0.278135,14.096289
0.278633,14.094201
0.279131,14.093242
0.279628,14.093339
0.280126,14.094131
0.280624,14.093396
0.281121,14.093349
0.281619,14.092194
0.282117,14.091105
0.282615,14.091081
0.283112,14.091557
0.28361,14.09271
0.284108,14.093751
0.284605,14.094716
0.285103,14.095963
0.285601,14.095627
0.286099,14.096289
0.286596,14.098269
0.287094,14.099234
0.287592,14.098315
0.288089,14.098439
0.288587,14.100228
0.289085,14.10205
0.289582,14.102864
0.29008,14.103004
0.290578,14.102179
0.291076,14.101998
0.291573,14.102593
0.292071,14.103197
0.292569,14.104574
0.293066,14.105665
0.293564,14.10593
0.294062,14.10688
0.29456,14.108044
0.295057,14.106861
0.295555,14.107042
0.296053,14.107367
0.29655,14.107424
0.297048,14.106965
0.297546,14.105232
0.298043,14.104039
0.298541,14.10159
0.299039,14.100103
0.299537,14.100535
0.300034,14.099483
0.300532,14.097256
0.30103,14.094407
0.301528,14.09448
0.302025,14.093502
0.302523,14.094445
