E4P1_R_ml,E4P1_R_mAU
0.269933,14.179016
0.270432,14.176894
0.27093,14.177179
0.271429,14.177657
0.271927,14.176928
0.272426,14.176599
0.272924,14.176645
0.273422,14.178159
0.273921,14.180135
0.274419,14.181019
0.274918,14.180684
0.275416,14.180265
0.275915,14.181263
0.276413,14.181704
0.276912,14.182479
0.27741,14.183783
0.277908,14.185641
0.278407,14.187004
0.278905,14.187712
0.279404,14.188215
0.279902,14.18766
0.280401,14.18596
0.280899,14.18429
0.281398,14.183654
0.281896,14.18343
0.282394,14.184094
0.282893,14.184542
0.283391,14.184242
0.28389,14.183661
0.284389,14.183378
0.284887,14.183804
0.285385,14.183236
0.285884,14.1822
0.286382,14.182053
0.28688,14.18154
0.287379,14.182656
0.287878,14.183259
0.288376,14.183598
0.288875,14.18505
0.289373,14.184742
0.289871,14.182817
0.29037,14.182061
0.290868,14.181829
0.291367,14.180696
0.291865,14.179912
0.292364,14.18054
0.292862,14.182724
0.293361,14.183392
0.293859,14.184973
0.294357,14.186026
0.294856,14.186284
0.295354,14.185586
0.295853,14.185731
0.296351,14.186677
0.29685,14.18634
0.297348,14.185611
0.297847,14.186733
0.298345,14.186535
0.298843,14.185839
0.299342,14.184994
0.29984,14.184455
0.300339,14.185226
0.300838,14.18538
0.301336,14.185648
0.301834,14.186337
0.302333,14.187327
0.302831,14.186949
0.303329,14.186378
0.303828,14.187032
0.304327,14.188714
0.304825,14.188868
0.305324,14.18852
0.305822,14.187212
0.30632,14.189064
0.306819,14.186822
0.307317,14.186852
0.307816,14.186666
0.308314,14.186984
0.308813,14.184109
0.309311,14.18365
0.30981,14.184711
0.310308,14.184724
0.310806,14.184307
0.311305,14.185431
0.311803,14.18587
0.312302,14.187748
0.3128,14.186069
0.313299,14.186016
0.313797,14.185553
0.314296,14.184102
0.314794,14.184132
0.315292,14.183831
0.315791,14.182883
0.316289,14.181576
0.316788,14.180679
0.317286,14.180059
0.317785,14.17915
0.318283,14.180264
0.318782,14.178499
0.31928,14.17925
0.319778,14.179321
0.320277,14.180302
0.320776,14.178496
0.321274,14.181513
0.321773,14.18181
0.322271,14.181937
0.322769,14.181787
0.323268,14.18448
0.323766,14.184615
0.324265,14.185434
0.324763,14.184888
0.325262,14.186373
0.32576,14.185911
0.326259,14.187017
0.326757,14.18688
0.327255,14.186894
0.327754,14.187059
0.328252,14.188897
0.328751,14.191197
0.329249,14.191143
0.329748,14.192404
0.330246,14.193686
0.330745,14.193069
0.331243,14.194347
0.331741,14.195058
0.33224,14.196482
0.332738,14.196758
0.333237,14.200065
0.333735,14.199191
0.334234,14.19783
0.334732,14.198183
0.335231,14.198727
0.335729,14.195235
0.336227,14.193664
0.336726,14.193075
0.337224,14.193065
0.337723,14.192159
0.338222,14.191957
0.33872,14.190629
0.339218,14.189499
0.339717,14.188913
0.340215,14.188033
0.340714,14.186864
0.341212,14.186935
0.341711,14.18579
0.342209,14.185979
0.342708,14.187051
0.343206,14.188234
0.343704,14.187671
0.344203,14.187841
0.344701,14.187317
0.3452,14.18724
0.345698,14.186047
0.346197,14.18671
0.346695,14.187282
0.347194,14.18618
0.347692,14.186039
0.34819,14.188373
0.348689,14.189342
0.349187,14.18996
0.349686,14.190161
0.350184,14.189998
0.350683,14.190667
0.351181,14.192345
0.35168,14.19278
0.352178,14.192863
0.352676,14.194258
0.353175,14.194806
0.353673,14.19469
0.354172,14.195004
0.354671,14.194252
0.355169,14.19241
0.355667,14.190843
0.356166,14.190927
0.356664,14.190674
0.357162,14.190578
0.357661,14.189598
0.35816,14.188513
0.358658,14.188936
0.359157,14.189146
0.359655,14.189026
0.360153,14.189028
0.360652,14.187712
0.36115,14.186727
0.361649,14.184921
0.362147,14.182828
0.362646,14.183403
0.363144,14.184074
0.363643,14.182905
0.364141,14.182593
0.364639,14.182381
0.365138,14.180892
0.365636,14.179555
0.366135,14.17868
0.366633,14.179442
0.367132,14.180798
0.36763,14.181808
0.368129,14.181015
0.368627,14.179526
0.369125,14.17884
0.369624,14.177868
0.370122,14.178671
0.370621,14.180983
0.371119,14.182453
0.371618,14.182031
0.372116,14.181255
0.372615,14.180947
0.373113,14.180937
0.373611,14.181088
0.37411,14.183579
0.374609,14.185553
0.375107,14.186341
0.375606,14.187155
0.376104,14.187517
0.376602,14.188003
0.377101,14.190142
0.377599,14.191408
0.378098,14.193373
0.378596,14.195017
0.379095,14.194002
0.379593,14.192317
0.380092,14.192393
0.38059,14.195892
0.381088,14.198573
0.381587,14.199026
0.382085,14.200907
0.382584,14.199981
0.383082,14.20015
0.383581,14.197057
0.384079,14.197988
0.384578,14.198109
0.385076,14.199092
0.385574,14.199828
0.386073,14.201418
0.386571,14.200732
0.38707,14.199915
0.387568,14.198409
0.388067,14.198072
0.388565,14.199335
0.389064,14.20093
0.389562,14.200814
0.39006,14.200491
0.390559,14.197565
0.391057,14.197493
0.391556,14.196876
0.392055,14.19657
0.392553,14.193923
0.393051,14.19102
0.39355,14.188241
0.394048,14.188184
0.394547,14.185489
0.395045,14.186838
0.395544,14.185245
0.396042,14.186683
0.396541,14.187077
0.397039,14.188043
0.397537,14.18721
0.398036,14.187332
0.398534,14.185143
0.399033,14.184725
0.399531,14.184702
0.40003,14.186143
0.400528,14.184792
0.401027,14.182909
0.401525,14.179886
0.402023,14.180813
0.402522,14.179723
0.40302,14.180527
0.403519,14.180083
0.404017,14.183903
0.404516,14.185025
0.405014,14.186809
0.405513,14.188405
0.406011,14.190154
0.406509,14.189404
0.407008,14.189704
0.407506,14.188251
0.408005,14.187901
0.408504,14.186577
0.409002,14.184951
0.4095,14.184568
0.409999,14.184792
0.410497,14.184232
0.410995,14.183852
0.411494,14.185348
0.411993,14.186136
0.412491,14.185212
0.41299,14.18409
0.413488,14.185172
0.413986,14.186201
0.414485,14.186021
0.414983,14.184925
0.415482,14.185808
0.41598,14.186348
0.416479,14.184989
0.416977,14.184074
0.417476,14.184723
0.417974,14.185325
0.418472,14.185855
0.418971,14.18549
0.419469,14.185555
0.419968,14.186885
0.420466,14.187653
0.420965,14.188307
0.421463,14.189106
0.421962,14.190804
0.42246,14.190817
0.422958,14.190901
0.423457,14.19138
0.423955,14.190084
0.424454,14.190351
0.424953,14.192466
0.425451,14.19433
0.425949,14.1951
0.426448,14.19449
0.426946,14.194167
0.427444,14.19352
0.427943,14.193328
0.428442,14.192544
0.42894,14.191553
0.429439,14.190084
0.429937,14.188865
0.430435,14.187571
0.430934,14.185921
0.431432,14.185549
0.431931,14.186417
0.432429,14.186976
0.432928,14.187725
0.433426,14.187996
0.433925,14.18702
0.434423,14.185882
0.434921,14.186419
0.43542,14.186003
0.435918,14.185645
0.436417,14.186277
0.436915,14.185996
0.437414,14.185306
0.437912,14.184019
0.438411,14.182987
0.438909,14.182717
0.439407,14.183468
0.439906,14.185063
0.440404,14.18549
0.440903,14.186381
0.441401,14.188123
0.4419,14.188725
0.442398,14.189674
0.442897,14.190746
0.443395,14.191687
0.443893,14.192116
0.444392,14.190591
0.44489,14.189122
0.445389,14.189266
0.445888,14.190632
0.446386,14.192175
0.446884,14.191739
0.447383,14.190503
0.447881,14.191273
0.44838,14.191896
0.448878,14.191665
0.449377,14.190532
0.449875,14.189775
0.450374,14.18946
0.450872,14.190307
0.45137,14.189698
0.451869,14.187922
0.452367,14.187497
0.452866,14.18877
0.453364,14.188601
0.453863,14.187108
0.454361,14.186304
0.45486,14.186282
0.455358,14.186857
0.455856,14.187188
0.456355,14.187285
0.456853,14.18812
0.457352,14.188863
0.45785,14.187679
0.458349,14.187517
0.458847,14.188966
0.459346,14.190087
0.459844,14.190493
0.460342,14.190423
0.460841,14.189213
0.461339,14.189009
0.461838,14.190356
0.462337,14.191594
0.462835,14.192383
0.463333,14.193079
0.463832,14.193895
0.46433,14.196534
0.464828,14.197534
0.465327,14.196897
0.465826,14.195834
0.466324,14.196173
0.466823,14.197351
0.467321,14.198029
0.467819,14.195365
0.468318,14.193167
0.468816,14.193092
0.469315,14.193858
0.469813,14.194208
0.470312,14.194774
0.47081,14.19353
0.471309,14.191624
0.471807,14.189289
0.472305,14.189692
0.472804,14.189
0.473302,14.188405
0.473801,14.18924
0.474299,14.189566
0.474798,14.189883
0.475296,14.187744
0.475795,14.187089
0.476293,14.186272
0.476791,14.183889
0.47729,14.184129
0.477788,14.183421
0.478287,14.183813
0.478786,14.18097
0.479284,14.180617
0.479782,14.180244
0.480281,14.181772
0.480779,14.182858
0.481277,14.182578
0.481776,14.181222
0.482275,14.181453
0.482773,14.179757
0.483272,14.180823
0.48377,14.182977
0.484268,14.183369
0.484767,14.183111
0.485265,14.184302
0.485764,14.185694
0.486262,14.186066
0.486761,14.186116
0.487259,14.183708
0.487758,14.184266
0.488256,14.183634
0.488754,14.183453
0.489253,14.186363
0.489751,14.186247
0.49025,14.186777
0.490748,14.186604
0.491247,14.188625
0.491745,14.186749
0.492244,14.185992
0.492742,14.186738
0.49324,14.187484
0.493739,14.187519
0.494237,14.187407
0.494736,14.187556
0.495234,14.188194
0.495733,14.187881
0.496231,14.187349
0.49673,14.187111
0.497228,14.187845
0.497726,14.186391
0.498225,14.185005
0.498724,14.184331
0.499222,14.184319
0.499721,14.187
0.500219,14.188841
0.500717,14.190894
0.501216,14.190675
0.501714,14.188281
0.502213,14.187742
0.502711,14.186753
0.50321,14.187038
0.503708,14.187405
0.504207,14.18878
0.504705,14.188993
0.505203,14.18835
0.505702,14.187356
0.5062,14.186937
0.506699,14.187403
0.507197,14.186829
0.507696,14.186505
0.508194,14.185922
0.508693,14.185587
0.509191,14.185171
0.509689,14.184479
0.510188,14.184991
0.510686,14.184715
0.511185,14.185154
0.511683,14.184293
0.512182,14.182436
0.51268,14.180393
0.513178,14.179179
0.513677,14.17905
0.514175,14.179982
0.514674,14.180219
0.515172,14.181128
0.515671,14.180983
0.516169,14.181786
0.516668,14.182743
0.517166,14.184789
0.517664,14.185239
0.518163,14.185142
0.518661,14.185085
0.51916,14.185177
0.519659,14.18578
0.520157,14.187078
0.520655,14.187805
0.521154,14.187861
0.521652,14.188426
0.522151,14.189482
0.522649,14.189357
0.523148,14.189504
0.523646,14.188182
0.524145,14.187204
0.524643,14.188359
0.525141,14.189772
0.52564,14.188581
0.526138,14.188525
0.526637,14.188855
0.527135,14.190029
0.527634,14.190072
0.528132,14.18997
0.528631,14.189237
0.529129,14.187417
0.529627,14.184772
0.530126,14.183875
0.530624,14.183212
0.531123,14.183605
0.531621,14.184525
0.53212,14.183795
0.532618,14.18147
0.533117,14.181629
0.533615,14.180718
0.534113,14.179365
0.534612,14.178114
0.53511,14.177809
0.535609,14.177588
0.536108,14.179736
0.536606,14.180583
0.537104,14.180037
0.537603,14.178743
0.538101,14.179772
0.538599,14.179449
0.539098,14.179814
0.539597,14.179415
0.540095,14.180635
0.540594,14.18071
0.541092,14.180382
0.54159,14.18105
0.542089,14.182359
0.542587,14.181765
0.543086,14.181668
0.543584,14.18261
0.544083,14.181677
0.544581,14.182157
0.54508,14.18447
0.545578,14.185184
0.546076,14.185755
0.546575,14.18664
0.547073,14.187063
0.547572,14.186559
0.54807,14.187471
0.548569,14.187051
0.549067,14.186749
0.549566,14.185095
0.550064,14.186114
0.550562,14.187312
0.551061,14.187746
0.551559,14.18765
0.552058,14.188378
0.552557,14.186837
0.553055,14.188325
0.553553,14.186671
0.554052,14.186281
0.55455,14.185715
0.555048,14.186449
0.555547,14.185823
0.556046,14.186775
0.556544,14.186012
0.557043,14.186017
0.557541,14.182912
0.558039,14.182265
0.558538,14.183563
0.559036,14.184462
0.559535,14.185182
0.560033,14.185403
0.560532,14.184944
0.56103,14.184619
0.561529,14.184316
0.562027,14.185256
0.562525,14.184651
0.563024,14.183455
0.563522,14.182407
0.564021,14.181285
0.564519,14.180264
0.565018,14.179964
0.565516,14.178547
0.566015,14.178438
0.566513,14.179704
0.567011,14.180054
0.56751,14.179307
0.568008,14.180994
0.568507,14.178331
0.569005,14.178799
0.569504,14.178927
0.570002,14.179854
0.570501,14.18082
0.570999,14.18014
0.571497,14.179929
0.571996,14.18016
0.572495,14.181845
0.572993,14.182809
0.573492,14.182715
0.57399,14.183935
0.574488,14.185646
0.574987,14.184851
0.575485,14.184427
0.575984,14.184336
0.576482,14.184198
0.576981,14.183531
0.577479,14.184731
0.577978,14.186274
0.578476,14.18784
0.578974,14.188499
0.579473,14.18734
0.579971,14.187264
0.58047,14.187575
0.580968,14.187222
0.581467,14.188167
0.581965,14.188383
0.582464,14.187835
0.582962,14.18693
0.58346,14.186164
0.583959,14.184825
0.584457,14.184549
0.584956,14.18414
0.585454,14.184181
0.585953,14.184281
0.586451,14.183608
0.58695,14.182625
0.587448,14.183
0.587946,14.183461
0.588445,14.183343
0.588943,14.184075
0.589442,14.185052
0.589941,14.184587
0.590439,14.18439
0.590937,14.184662
0.591436,14.185089
0.591934,14.184725
0.592432,14.184438
0.592931,14.184608
0.59343,14.184134
0.593928,14.183522
0.594427,14.183359
0.594925,14.183057
0.595423,14.18304
0.595922,14.184477
0.59642,14.184981
0.596919,14.183919
0.597417,14.183472
0.597916,14.183735
0.598414,14.183011
0.598913,14.181828
0.599411,14.181702
0.599909,14.181366
0.600408,14.180968
0.600906,14.182178
0.601405,14.182492
0.601903,14.182148
0.602402,14.180864
0.6029,14.179684
0.603399,14.178767
0.603897,14.177391
0.604395,14.177324
0.604894,14.177929
0.605392,14.177591
0.605891,14.178338
0.60639,14.178941
0.606888,14.179769
0.607386,14.180968
0.607885,14.18184
0.608383,14.181224
0.608881,14.181486
0.60938,14.181713
0.609879,14.182055
0.610377,14.182833
0.610876,14.184317
0.611374,14.185236
0.611872,14.184604
0.612371,14.184944
0.612869,14.186216
0.613368,14.185556
0.613866,14.184957
0.614365,14.185207
0.614863,14.187531
0.615362,14.186673
0.61586,14.186905
0.616358,14.189003
0.616857,14.190591
0.617355,14.189876
0.617854,14.191181
0.618352,14.191595
0.618851,14.191317
0.619349,14.190585
0.619848,14.190929
0.620346,14.190369
0.620844,14.190801
0.621343,14.190846
0.621841,14.191071
0.62234,14.190934
0.622838,14.189907
0.623337,14.188646
0.623835,14.187628
0.624334,14.188311
0.624832,14.188109
0.62533,14.189883
0.625829,14.18958
0.626328,14.190031
0.626826,14.189335
0.627325,14.188195
0.627823,14.187346
0.628321,14.189042
0.62882,14.188044
0.629318,14.18642
0.629817,14.182647
0.630315,14.183134
0.630814,14.182863
0.631312,14.183411
0.631811,14.18279
0.632309,14.183319
0.632807,14.183655
0.633306,14.183637
0.633804,14.184178
0.634303,14.183915
0.634801,14.182728
0.6353,14.182849
0.635798,14.18242
0.636297,14.182447
0.636795,14.181987
