E2P2_N_ml,E2P2_N_mAU,E2P2_R_ml,E2P2_R_mAU,E3P3_N_ml,E3P3_N_mAU,E3P3_R_ml,E3P3_R_mAU,E4P1_N_ml,E4P1_N_mAU,E4P1_R_ml,E4P1_R_mAU
-1.583565,0.525865,-1.325835,0.380869,-0.877673,0.748751,-13.953493,0.647693,0.041227,14.09503,0.041143,14.173993
-1.58274,0.526141,-1.325049,0.379807,-0.876846,0.751477,-13.952993,0.647527,0.041725,14.095678,0.041642,14.172153
-1.581915,0.526141,-1.324262,0.379853,-0.876018,0.753557,-13.952495,0.644804,0.042223,14.095132,0.04214,14.171482
-1.58109,0.526222,-1.323475,0.379906,-0.875191,0.754602,-13.951996,0.644438,0.04272,14.094395,0.042638,14.171069
-1.580265,0.52717,-1.322689,0.380901,-0.874364,0.75478,-13.951497,0.645712,0.043218,14.094893,0.043137,14.171515
-1.57944,0.52792,-1.321902,0.38186,-0.873536,0.756125,-13.950998,0.645577,0.043716,14.096245,0.043635,14.172728
-1.578615,0.526994,-1.321116,0.382359,-0.872709,0.758387,-13.950499,0.645482,0.044213,14.095153,0.044134,14.172087
-1.57779,0.5258,-1.320329,0.382863,-0.871882,0.760789,-13.95,0.644993,0.044711,14.096354,0.044632,14.172242
-1.576965,0.523298,-1.319542,0.383357,-0.871054,0.763435,-13.949501,0.64532,0.045209,14.096177,0.045131,14.172709
-1.576141,0.522219,-1.318756,0.384414,-0.870227,0.765035,-13.949002,0.646809,0.045707,14.097363,0.045629,14.171073
-1.575316,0.521647,-1.317969,0.386587,-0.8694,0.767421,-13.948503,0.64349,0.046204,14.098704,0.046128,14.170184
-1.574491,0.521456,-1.317182,0.38845,-0.868573,0.770772,-13.948004,0.641763,0.046702,14.097251,0.046626,14.171374
-1.573666,0.521632,-1.316396,0.388377,-0.867745,0.772156,-13.947505,0.64349,0.0472,14.09821,0.047124,14.172011
-1.572841,0.521847,-1.315609,0.390697,-0.866918,0.772958,-13.947006,0.64399,0.047697,14.097297,0.047623,14.17255
-1.572016,0.521758,-1.314823,0.392553,-0.866091,0.77513,-13.946507,0.644494,0.048195,14.09725,0.048121,14.173103
-1.571191,0.521772,-1.314036,0.393508,-0.865263,0.77841,-13.946008,0.642932,0.048693,14.097412,0.04862,14.174439
-1.570366,0.519755,-1.313249,0.392683,-0.864436,0.780957,-13.945509,0.643699,0.049191,14.097474,0.049119,14.176324
-1.569541,0.520442,-1.312463,0.39385,-0.863609,0.783471,-13.94501,0.643963,0.049688,14.099965,0.049617,14.17713
-1.568717,0.519149,-1.311676,0.395323,-0.862781,0.787008,-13.94451,0.641905,0.050186,14.100454,0.050115,14.176358
-1.567892,0.519709,-1.310889,0.396462,-0.861954,0.789692,-13.944012,0.641674,0.050684,14.100455,0.050614,14.174805
-1.567067,0.519438,-1.310103,0.397465,-0.861127,0.792001,-13.943513,0.64331,0.051181,14.101118,0.051112,14.173662
-1.566242,0.51855,-1.309316,0.399194,-0.8603,0.795364,-13.943014,0.64087,0.051679,14.100982,0.05161,14.172725
-1.565417,0.517588,-1.308529,0.401064,-0.859472,0.797336,-13.942515,0.640879,0.052177,14.101311,0.052109,14.173194
-1.564592,0.51606,-1.307743,0.401441,-0.858645,0.799422,-13.942016,0.640653,0.052674,14.100992,0.052608,14.172697
-1.563767,0.514693,-1.306956,0.40262,-0.857818,0.800957,-13.941517,0.640984,0.053172,14.100231,0.053106,14.173574
-1.562942,0.515255,-1.30617,0.403738,-0.85699,0.803783,-13.941018,0.639383,0.05367,14.101214,0.053605,14.175116
-1.562117,0.516672,-1.305383,0.403859,-0.856163,0.807103,-13.940519,0.639044,0.054168,14.101204,0.054103,14.175004
-1.561293,0.515694,-1.304596,0.404411,-0.855336,0.810337,-13.94002,0.639159,0.054665,14.100536,0.054601,14.174612
-1.560468,0.517368,-1.30381,0.408085,-0.854508,0.8122,-13.939521,0.638462,0.055163,14.09771,0.0551,14.174732
-1.559643,0.518955,-1.303023,0.408833,-0.853681,0.815621,-13.939022,0.635838,0.055661,14.097893,0.055598,14.17356
-1.558818,0.518815,-1.302236,0.410056,-0.852854,0.81862,-13.938523,0.635301,0.056158,14.097099,0.056097,14.171443
-1.557993,0.52083,-1.30145,0.409912,-0.852027,0.821312,-13.938024,0.633974,0.056656,14.09713,0.056595,14.170673
-1.557168,0.52347,-1.300663,0.413125,-0.851199,0.825108,-13.937525,0.634826,0.057154,14.097262,0.057094,14.169448
-1.556343,0.525532,-1.299877,0.416254,-0.850372,0.829547,-13.937026,0.631813,0.057652,14.097503,0.057592,14.168064
-1.555518,0.526534,-1.29909,0.418285,-0.849545,0.834809,-13.936527,0.630588,0.058149,14.096745,0.058091,14.169263
-1.554693,0.52806,-1.298303,0.421216,-0.848717,0.840468,-13.936028,0.630698,0.058647,14.095172,0.058589,14.169237
-1.553869,0.528548,-1.297517,0.422935,-0.84789,0.843956,-13.935529,0.632663,0.059145,14.094381,0.059087,14.167562
-1.553044,0.53044,-1.29673,0.423377,-0.847063,0.848768,-13.93503,0.631709,0.059642,14.093993,0.059586,14.167058
-1.552219,0.531136,-1.295943,0.424711,-0.846235,0.854451,-13.934531,0.631152,0.06014,14.094825,0.060084,14.166791
-1.551394,0.533891,-1.295157,0.427126,-0.845408,0.859661,-13.934032,0.630132,0.060638,14.095443,0.060583,14.165051
-1.550569,0.538484,-1.29437,0.429402,-0.844581,0.863092,-13.933533,0.628981,0.061135,14.095513,0.061081,14.163763
-1.549744,0.540606,-1.293584,0.431759,-0.843754,0.867358,-13.933034,0.627098,0.061633,14.097069,0.06158,14.162967
-1.548919,0.543325,-1.292797,0.435719,-0.842926,0.871717,-13.932535,0.626633,0.062131,14.09644,0.062078,14.161387
-1.548094,0.546941,-1.29201,0.441103,-0.842099,0.875997,-13.932036,0.627801,0.062629,14.09575,0.062577,14.161233
-1.547269,0.551275,-1.291224,0.445519,-0.841272,0.8811,-13.931537,0.62687,0.063126,14.09551,0.063075,14.162848
-1.546445,0.554311,-1.290437,0.449429,-0.840444,0.887627,-13.931038,0.626211,0.063624,14.09268,0.063573,14.163038
-1.54562,0.559861,-1.28965,0.452152,-0.839617,0.893309,-13.930539,0.627728,0.064122,14.092392,0.064072,14.16363
-1.544795,0.564126,-1.288864,0.456922,-0.83879,0.901443,-13.93004,0.62709,0.064619,14.091294,0.06457,14.164438
-1.54397,0.569684,-1.288077,0.458204,-0.837963,0.908773,-13.929541,0.627618,0.065117,14.09271,0.065069,14.164811
-1.543145,0.573035,-1.28729,0.464191,-0.837135,0.916848,-13.929042,0.625978,0.065615,14.092555,0.065567,14.16384
-1.54232,0.576425,-1.286504,0.470835,-0.836308,0.925333,-13.928543,0.6258,0.066113,14.093946,0.066066,14.16323
-1.541495,0.577512,-1.285717,0.474933,-0.835481,0.933608,-13.928044,0.625496,0.06661,14.094353,0.066564,14.164225
-1.54067,0.580993,-1.284931,0.478894,-0.834653,0.942636,-13.927546,0.627051,0.067108,14.097134,0.067063,14.167459
-1.539845,0.58355,-1.284144,0.485024,-0.833826,0.95524,-13.927046,0.626794,0.067606,14.09995,0.067561,14.168985
-1.539021,0.583402,-1.283357,0.490538,-0.832999,0.968442,-13.926547,0.629332,0.068103,14.100844,0.068059,14.169936
-1.538196,0.58664,-1.282571,0.496681,-0.832171,0.983744,-13.926048,0.629638,0.068601,14.100626,0.068558,14.171444
-1.537371,0.588521,-1.281784,0.50255,-0.831344,1.000954,-13.92555,0.630384,0.069099,14.101365,0.069057,14.172395
-1.536546,0.589048,-1.280997,0.509571,-0.830517,1.023656,-13.92505,0.6305,0.069596,14.101645,0.069555,14.174049
-1.535721,0.590727,-1.280211,0.514648,-0.82969,1.048422,-13.924551,0.631113,0.070094,14.101194,0.070054,14.176895
-1.534896,0.592967,-1.279424,0.51808,-0.828862,1.072802,-13.924052,0.63142,0.070592,14.100597,0.070552,14.177655
-1.534071,0.594879,-1.278638,0.523552,-0.828035,1.097484,-13.923553,0.633139,0.07109,14.100726,0.07105,14.179917
-1.533246,0.597276,-1.277851,0.529917,-0.827208,1.121533,-13.923054,0.631884,0.071587,14.101695,0.071549,14.181959
-1.532421,0.598818,-1.277064,0.535219,-0.82638,1.14709,-13.922555,0.631399,0.072085,14.102177,0.072047,14.182737
-1.531597,0.600435,-1.276278,0.539166,-0.825553,1.170318,-13.922056,0.63183,0.072583,14.104337,0.072546,14.184065
-1.530772,0.60092,-1.275491,0.543327,-0.824726,1.189427,-13.921557,0.633284,0.07308,14.106337,0.073044,14.188209
-1.529947,0.599346,-1.274704,0.545326,-0.823898,1.209365,-13.921058,0.632986,0.073578,14.10752,0.073543,14.190576
-1.529122,0.598985,-1.273918,0.548163,-0.823071,1.22776,-13.920559,0.633419,0.074076,14.10889,0.074041,14.192469
-1.528297,0.597647,-1.273131,0.551889,-0.822244,1.247639,-13.92006,0.632755,0.074574,14.109943,0.07454,14.195355
-1.527472,0.598192,-1.272344,0.5539,-0.821416,1.264933,-13.919561,0.632553,0.075071,14.111399,0.075038,14.198601
-1.526647,0.596859,-1.271558,0.556244,-0.820589,1.281503,-13.919063,0.632499,0.075569,14.113744,0.075536,14.20162
-1.525822,0.59581,-1.270771,0.557773,-0.819762,1.293471,-13.918563,0.632894,0.076067,14.117899,0.076035,14.205569
-1.524997,0.59417,-1.269985,0.557499,-0.818935,1.30942,-13.918064,0.632044,0.076564,14.122718,0.076533,14.208642
-1.524173,0.592034,-1.269198,0.559085,-0.818107,1.321172,-13.917565,0.63198,0.077062,14.127074,0.077032,14.2124
-1.523348,0.591028,-1.268411,0.55988,-0.81728,1.332289,-13.917067,0.63116,0.07756,14.130971,0.07753,14.215857
-1.522523,0.589863,-1.267625,0.561165,-0.816453,1.341968,-13.916567,0.630737,0.078057,14.1356,0.078029,14.221216
-1.521698,0.588739,-1.266838,0.560902,-0.815625,1.350694,-13.916068,0.631009,0.078555,14.139748,0.078527,14.226525
-1.520873,0.5882,-1.266051,0.559657,-0.814798,1.355935,-13.915569,0.631491,0.079053,14.142596,0.079026,14.23261
-1.520048,0.587512,-1.265265,0.558627,-0.813971,1.361101,-13.915071,0.62974,0.079551,14.144067,0.079524,14.236071
-1.519223,0.58541,-1.264478,0.557981,-0.813143,1.362851,-13.914571,0.628995,0.080048,14.144744,0.080022,14.240791
-1.518398,0.583957,-1.263692,0.557254,-0.812316,1.364969,-13.914072,0.627297,0.080546,14.14647,0.080521,14.247792
-1.517573,0.582441,-1.262905,0.55485,-0.811489,1.362153,-13.913573,0.62697,0.081044,14.14971,0.081019,14.254616
-1.516749,0.58085,-1.262118,0.552422,-0.810662,1.356398,-13.913074,0.627685,0.081541,14.153463,0.081518,14.260689
-1.515924,0.579552,-1.261332,0.551267,-0.809834,1.344514,-13.912575,0.628534,0.082039,14.156753,0.082016,14.266531
-1.515099,0.578567,-1.260545,0.547685,-0.809007,1.329232,-13.912076,0.629927,0.082537,14.160711,0.082515,14.271595
-1.514274,0.576486,-1.259758,0.543872,-0.80818,1.315053,-13.911577,0.631516,0.083035,14.165167,0.083013,14.277869
-1.513449,0.574464,-1.258972,0.543458,-0.807352,1.297617,-13.911078,0.632737,0.083532,14.168695,0.083512,14.281969
-1.512624,0.572965,-1.258185,0.540106,-0.806525,1.281111,-13.91058,0.635573,0.08403,14.172933,0.08401,14.287573
-1.511799,0.570958,-1.257398,0.534904,-0.805698,1.263661,-13.91008,0.64087,0.084528,14.17738,0.084508,14.293009
-1.510974,0.569013,-1.256612,0.528714,-0.80487,1.249059,-13.909581,0.646005,0.085025,14.179951,0.085007,14.299635
-1.510149,0.568501,-1.255825,0.525544,-0.804043,1.235299,-13.909082,0.650325,0.085523,14.182341,0.085505,14.303871
-1.509325,0.567874,-1.255038,0.522918,-0.803216,1.222202,-13.908584,0.659027,0.086021,14.184058,0.086004,14.308496
-1.5085,0.566806,-1.254252,0.520134,-0.802389,1.209998,-13.908084,0.670268,0.086518,14.185674,0.086503,14.312696
-1.507675,0.566008,-1.253465,0.517541,-0.801561,1.195773,-13.907585,0.682881,0.087016,14.187688,0.087001,14.317952
-1.50685,0.564899,-1.252679,0.513747,-0.800734,1.182503,-13.907086,0.695895,0.087514,14.189448,0.087499,14.322767
-1.506025,0.563545,-1.251892,0.509564,-0.799907,1.16867,-13.906588,0.711811,0.088012,14.191193,0.087998,14.326287
-1.5052,0.561614,-1.251105,0.506495,-0.799079,1.158891,-13.906088,0.727839,0.088509,14.192135,0.088496,14.329474
-1.504375,0.559383,-1.250319,0.503221,-0.798252,1.146613,-13.905589,0.744495,0.089007,14.192835,0.088995,14.332848
-1.50355,0.558227,-1.249532,0.499987,-0.797425,1.134389,-13.90509,0.762503,0.089505,14.194056,0.089493,14.33592
-1.502725,0.557145,-1.248746,0.498823,-0.796598,1.122909,-13.904592,0.783336,0.090002,14.194894,0.089992,14.339139
-1.501901,0.556634,-1.247959,0.495805,-0.79577,1.112345,-13.904092,0.804705,0.0905,14.195069,0.09049,14.342284
-1.501076,0.555564,-1.247172,0.492874,-0.794943,1.100337,-13.903593,0.827088,0.090998,14.194678,0.090989,14.343738
-1.500251,0.553513,-1.246386,0.491469,-0.794116,1.091632,-13.903094,0.849402,0.091496,14.195884,0.091487,14.346382
-1.499426,0.552338,-1.245599,0.491126,-0.793288,1.082744,-13.902596,0.872256,0.091993,14.198311,0.091985,14.347224
-1.498601,0.551872,-1.244812,0.488889,-0.792461,1.075469,-13.902097,0.89526,0.092491,14.200686,0.092484,14.348135
-1.497776,0.551263,-1.244026,0.486355,-0.791634,1.066095,-13.901597,0.919056,0.092989,14.201067,0.092982,14.34739
-1.496951,0.550158,-1.243239,0.484687,-0.790806,1.057112,-13.901098,0.944266,0.093486,14.200551,0.093481,14.345355
-1.496126,0.548642,-1.242453,0.482048,-0.789979,1.047277,-13.900599,0.968296,0.093984,14.19968,0.093979,14.344845
-1.495301,0.54702,-1.241666,0.48028,-0.789152,1.039481,-13.900101,0.993214,0.094482,14.198374,0.094478,14.344613
-1.494477,0.545855,-1.240879,0.476601,-0.788325,1.032076,-13.899601,1.018271,0.094979,14.198521,0.094976,14.344287
-1.493652,0.545602,-1.240093,0.474544,-0.787497,1.023525,-13.899102,1.043574,0.095477,14.198764,0.095475,14.345015
-1.492827,0.54485,-1.239306,0.473161,-0.78667,1.016116,-13.898603,1.068895,0.095975,14.198855,0.095973,14.345669
-1.492002,0.543373,-1.238519,0.470798,-0.785843,1.010077,-13.898105,1.092544,0.096473,14.19689,0.096471,14.346743
-1.491177,0.541517,-1.237733,0.46896,-0.785015,1.004737,-13.897605,1.114747,0.09697,14.194111,0.09697,14.346986
-1.490352,0.539961,-1.236946,0.46747,-0.784188,0.998166,-13.897106,1.137204,0.097468,14.192528,0.097468,14.347281
-1.489527,0.538459,-1.236159,0.466319,-0.783361,0.992516,-13.896607,1.158355,0.097966,14.191689,0.097967,14.345051
-1.488702,0.536465,-1.235373,0.464558,-0.782533,0.987092,-13.896109,1.175812,0.098463,14.192385,0.098465,14.344279
-1.487877,0.536531,-1.234586,0.46159,-0.781706,0.979562,-13.895609,1.192652,0.098961,14.192835,0.098964,14.343676
-1.487052,0.53749,-1.233799,0.46114,-0.780879,0.974431,-13.89511,1.206057,0.099459,14.192482,0.099462,14.343103
-1.486228,0.537404,-1.233013,0.459868,-0.780052,0.969022,-13.894611,1.219344,0.099957,14.19224,0.099961,14.340541
-1.485403,0.537948,-1.232226,0.459083,-0.779224,0.96472,-13.894113,1.228846,0.100454,14.191257,0.100459,14.337308
