,buff,OverlapClass,Overlap,Bounds,pvalue,Count,num,typeoverlap,dataset
0,CG,R5min,0.333,"(0.250, 0.417)",1.0,36,2,GeneOverlapTableVenn,all_genes
1,CG,R2hr,0.157,"(0.093, 0.231)",1.0,17,2,GeneOverlapTableVenn,all_genes
2,CG,R5min-R2hr,0.509,"(0.417, 0.602)",9.999e-05,55,2,GeneOverlapTableVenn,all_genes
0,C,R5min,0.233,"(0.209, 0.257)",1.0,284,2,PKsiteOverlap,all_genes
1,C,R2hr,0.19,"(0.169, 0.213)",1.0,232,2,PKsiteOverlap,all_genes
2,C,R5min-R2hr,0.577,"(0.549, 0.606)",9.999e-05,704,2,PKsiteOverlap,all_genes
0,CD,R5min,0.496,"(0.431, 0.556)",0.9672,123,2,PKsiteOverlap,all_genes
1,CD,R2hr,0.081,"(0.048, 0.117)",1.0,20,2,PKsiteOverlap,all_genes
2,CD,R5min-R2hr,0.423,"(0.363, 0.484)",9.999e-05,105,2,PKsiteOverlap,all_genes
0,CG,R5min,0.477,"(0.427, 0.527)",0.3436,191,2,PKsiteOverlap,all_genes
1,CG,R2hr,0.168,"(0.133, 0.205)",0.9993,67,2,PKsiteOverlap,all_genes
2,CG,R5min-R2hr,0.355,"(0.307, 0.403)",0.06369,142,2,PKsiteOverlap,all_genes
0,C,R1min,0.08,"(0.046, 0.114)",0.9533,19,3,GeneOverlapTableVenn,all_genes
1,C,R5min,0.017,"(0.004, 0.034)",1.0,3,3,GeneOverlapTableVenn,all_genes
2,C,R2hr,0.017,"(0.004, 0.034)",1.0,3,3,GeneOverlapTableVenn,all_genes
3,C,R1min-R5min,0.122,"(0.084, 0.165)",1.0,29,3,GeneOverlapTableVenn,all_genes
4,C,R1min-R2hr,0.059,"(0.030, 0.089)",1.0,14,3,GeneOverlapTableVenn,all_genes
5,C,R5min-R2hr,0.025,"(0.008, 0.046)",1.0,6,3,GeneOverlapTableVenn,all_genes
6,C,R1min-R5min-R2hr,0.679,"(0.620, 0.738)",9.999e-05,161,3,GeneOverlapTableVenn,all_genes
0,CD,R1min,0.16,"(0.090, 0.240)",0.7341,16,3,GeneOverlapTableVenn,all_genes
1,CD,R5min,0.05,"(0.010, 0.100)",0.9996,5,3,GeneOverlapTableVenn,all_genes
2,CD,R2hr,0.01,"(0.010, 0.040)",1.0,1,3,GeneOverlapTableVenn,all_genes
3,CD,R1min-R5min,0.23,"(0.150, 0.320)",0.6664,23,3,GeneOverlapTableVenn,all_genes
4,CD,R1min-R2hr,0.05,"(0.010, 0.100)",1.0,5,3,GeneOverlapTableVenn,all_genes
5,CD,R5min-R2hr,0.0,"(0.000, 0.000)",1.0,0,3,GeneOverlapTableVenn,all_genes
6,CD,R1min-R5min-R2hr,0.5,"(0.400, 0.600)",9.999e-05,50,3,GeneOverlapTableVenn,all_genes
0,CG,R1min,0.176,"(0.115, 0.244)",0.8648,23,3,GeneOverlapTableVenn,all_genes
