buff,spa,cov,region,odds,odds_lb,odds_ub,pvalues,n
CD,30,50,0,0.0001484121371222,8.874881015260091e-05,0.000248185439414,0.291425324745528,140
CD,40,50,0,0.0001484121371222,8.874881015260091e-05,0.000248185439414,0.291425324745528,140
CD,50,50,0,0.000148247565583,8.855832381332228e-05,0.0002481679841597,0.2955610323901245,139
CD,60,50,0,0.000148247565583,8.855832381332228e-05,0.0002481679841597,0.2955610323901245,139
CD,70,50,0,0.0001531408674401,9.133640558034829e-05,0.0002567664572664,0.2960229695227321,130
CD,80,50,0,0.0001649213866821,9.785679539185818e-05,0.0002779476241403,0.2468640364141816,107
CD,90,50,0,0.0001185858052165,6.780124355128192e-05,0.0002074090748529,0.3477307443391235,67
CD,0,50,1,0.0001848192228909,0.0001105198432078,0.0003090679841606,0.291425324745528,140
CD,10,50,1,0.0001848192228909,0.0001105198432078,0.0003090679841606,0.291425324745528,140
CD,20,50,1,0.0001848192228909,0.0001105198432078,0.0003090679841606,0.291425324745528,140
CD,30,50,1,0.0001848192228909,0.0001105198432078,0.0003090679841606,0.291425324745528,140
CD,40,50,1,0.0001848192228909,0.0001105198432078,0.0003090679841606,0.291425324745528,140
CD,50,50,1,0.000184259416462,0.0001100706443611,0.0003084522013293,0.2955610323901245,139
CD,60,50,1,0.000184259416462,0.0001100706443611,0.0003084522013293,0.2955610323901245,139
CD,70,50,1,0.000190309321184,0.0001135044461739,0.0003190856301262,0.2960229695227321,130
CD,80,50,1,0.000211272570838,0.0001253594646051,0.0003560648518172,0.2468640364141816,107
CD,90,50,1,0.0001486860448173,8.501100716844837e-05,0.0002600550288695,0.3477307443391235,67
CG,0,50,0,0.0018465758432758,0.0015168748642908,0.0022479391182766,0.0967134467110952,189
CG,10,50,0,0.0018465758432758,0.0015168748642908,0.0022479391182766,0.0967134467110952,189
CG,20,50,0,0.0018465758432758,0.0015168748642908,0.0022479391182766,0.0967134467110952,189
CG,30,50,0,0.0018465758432758,0.0015168748642908,0.0022479391182766,0.0967134467110952,189
CG,40,50,0,0.0018581757907116,0.0015265212109355,0.0022618862053485,0.1016304695664613,188
CG,50,50,0,0.0018581757907116,0.0015265212109355,0.0022618862053485,0.1016304695664613,188
CG,60,50,0,0.0018936321173983,0.0015560061824613,0.0023045169334549,0.1050176386979566,183
CG,70,50,0,0.0020518043569311,0.0016863863760532,0.0024964036586765,0.1221045678211978,165
CG,80,50,0,0.0023129239708941,0.0018944831223161,0.0028237872547505,0.1318106572024955,132
CG,90,50,0,0.0032640805699834,0.0026082816462861,0.0040847666825066,0.2923409920787603,75
CG,0,50,1,0.00242472789333,0.0019917994744328,0.0029517556521932,0.0967134467110952,189
CG,10,50,1,0.00242472789333,0.0019917994744328,0.0029517556521932,0.0967134467110952,189
CG,20,50,1,0.00242472789333,0.0019917994744328,0.0029517556521932,0.0967134467110952,189
CG,30,50,1,0.00242472789333,0.0019917994744328,0.0029517556521932,0.0967134467110952,189
CG,40,50,1,0.0024303969915796,0.0019966101039445,0.0029584291519959,0.1016304695664613,188
CG,50,50,1,0.0024303969915796,0.0019966101039445,0.0029584291519959,0.1016304695664613,188
CG,60,50,1,0.0024701867999273,0.0020297638053382,0.0030061738269682,0.1050176386979566,183
CG,70,50,1,0.0026438712473304,0.0021730085699815,0.0032167637390034,0.1221045678211978,165
CG,80,50,1,0.0029821864408422,0.0024426664909317,0.0036408719737057,0.1318106572024955,132
CG,90,50,1,0.0039581439969174,0.003162898132925,0.0049533381227946,0.2923409920787603,75
