buff,timepoint,spa_threshold,LiPMScov_threshold,all_genes_n,essential_genes_n,nonessential_genes_n,essential_ent_genes_n,nonessential_ent_genes_n,essential_nonent_genes_n,nonessential_nonent_genes_n,refolded_genes_n,nonrefolded_genes_n,ent_genes_n,nonent_genes_n
C,Rall,80,30,247,80,167,63,135,17,32,30,217,198,49
C,Rall,80,40,238,78,160,62,130,16,30,22,216,192,46
C,Rall,80,50,228,74,154,59,125,15,29,20,208,184,44
C,Rall,80,60,201,62,139,50,114,12,25,16,185,164,37
C,Rall,80,70,158,48,110,39,91,9,19,13,145,130,28
C,Rall,80,80,95,32,63,25,52,7,11,2,93,77,18
C,Rall,80,90,23,4,19,2,17,2,2,0,23,19,4
C,Rall,90,0,139,56,83,43,69,13,14,9,130,112,27
C,Rall,90,10,138,56,82,43,69,13,13,8,130,112,26
C,Rall,90,20,137,56,81,43,68,13,13,7,130,111,26
C,Rall,90,30,136,56,80,43,67,13,13,7,129,110,26
C,Rall,90,40,136,56,80,43,67,13,13,7,129,110,26
C,Rall,90,50,132,54,78,41,65,13,13,7,125,106,26
C,Rall,90,60,124,49,75,37,63,12,12,6,118,100,24
C,Rall,90,70,109,41,68,32,60,9,8,4,105,92,17
C,Rall,90,80,78,29,49,22,42,7,7,2,76,64,14
C,Rall,90,90,22,4,18,2,16,2,2,0,22,18,4
