gene;model
A0A0P0WW27;F1
A0A0P0WWK1;F1
A0A0P0WY97;F1
A0A0P0WYI0;F1
A0A0P0WYN8;F1
A0A0P0WZ32;F1
A0A0P0WZQ8;F1
A0A0P0WZW0;F1
A0A0P0X247;F1
A0A0P0X2T2;F1
A0A0P0X365;F1
A0A0P0X406;F1
A0A0P0X4X2;F1
A0A0P0X5S0;F1
A0A0P0X655;F1
A0A0P0X712;F1
A0A0P0X7A7;F1
A0A0P0X865;F1
A0A0P0X8J6;F1
A0A0P0X8N2;F1
A0A0P0X8Q8;F1
A0A0P0X9Z7;F1
A0A0P0XAW7;F1
A0A0P0XB35;F1
A0A0P0XDK4;F1
A0A0P0XDV5;F1
A0A0P0XEJ7;F1
A0A0P0XEK8;F1
A0A0P0XFD0;F1
A0A0P0XFX4;F1
A0A0P0XHW1;F1
A0A0P0XIB9;F1
A0A0P0XIH4;F1
A0A0P0XJ05;F1
A0A0P0XJW3;F1
A0A0P0XM35;F1
A0A0P0XN81;F1
A0A0P0XPM5;F1
A0A0P0XQN9;F1
A0A0P0XQX3;F1
A0A0P0XRJ0;F1
A0A0P0XRZ5;F1
A0A0P0XTR9;F1
A0A0P0XUI0;F1
A0A0P0XVX4;F1
A0A0P0XWE8;F1
A0A0P0XWU3;F1
A0A0P0XXW5;F1
A0A0P0XYM6;F1
A0A0P0XZ83;F1
A0A0P0XZB5;F1
A0A0P0Y2V6;F1
A0A0P0Y5A4;F1
A0A0P0Y6S8;F1
A0A0P0Y7E4;F1
A0A0P0Y7Y0;F1
A0A0P0Y835;F1
A0A0P0Y9H9;F1
A0A0P0YAV9;F1
A0A0P0YAZ6;F1
A0A0P0YBC3;F1
A0A0P0YC13;F1
A0A0P0YCU6;F1
A0A0P0YD01;F1
A0A0R0E8P2;F1
A0A0R0EDN2;F1
A0A0R0EEG0;F1
A0A0R0EEP3;F1
A0A0R0EGT6;F1
A0A0R0EGY8;F1
A0A0R0ETK5;F1
A0A0R0EU07;F1
A0A0R0EZE5;F1
A0A0R0F029;F1
A0A0R0F1T7;F1
A0A0R0F5F7;F1
A0A0R0F7I8;F1
A0A0R0F8H1;F1
A0A0R0FB00;F1
A0A0R0FB38;F1
A0A0R0FD66;F1
A0A0R0FE30;F1
A0A0R0FFD8;F1
A0A0R0FFW9;F1
A0A0R0FJI5;F1
A0A0R0FKQ2;F1
A0A0R0FNI5;F1
A0A0R0FNQ0;F1
A0A0R0FRH5;F1
A0A0R0FS66;F1
A0A0R0FUP7;F1
A0A0R0FWY1;F1
A0A0R0FWZ0;F1
A0A0R0G1S2;F1
A0A0R0G1Y1;F1
A0A0R0G291;F1
A0A0R0G2K6;F1
A0A0R0G6P4;F1
A0A0R0G752;F1
A0A0R0G7N3;F1
A0A0R0G7Q0;F1
A0A0R0G9G7;F1
A0A0R0GE64;F1
A0A0R0GEG7;F1
A0A0R0GH42;F1
A0A0R0GH61;F1
A0A0R0GH91;F1
A0A0R0GHB5;F1
A0A0R0GHB6;F1
A0A0R0GHD3;F1
A0A0R0GHF8;F1
A0A0R0GHH2;F1
A0A0R0GHJ7;F1
A0A0R0GHT3;F1
A0A0R0GKL1;F1
A0A0R0GL68;F1
A0A0R0GP42;F1
A0A0R0GP73;F1
A0A0R0GPA2;F1
A0A0R0GPA8;F1
A0A0R0GPR4;F1
A0A0R0GQX3;F1
A0A0R0GRB4;F1
A0A0R0GRD0;F1
A0A0R0GU16;F1
A0A0R0GUK0;F1
A0A0R0GUL7;F1
A0A0R0GWH6;F1
A0A0R0GX50;F1
A0A0R0GXB3;F1
A0A0R0GZ23;F1
A0A0R0H0I1;F1
A0A0R0H268;F1
A0A0R0H2B2;F1
A0A0R0H5X8;F1
A0A0R0H698;F1
A0A0R0H824;F1
A0A0R0H8J7;F1
A0A0R0HBU8;F1
A0A0R0HDU9;F1
A0A0R0HDV7;F1
A0A0R0HLP9;F1
A0A0R0HN71;F1
A0A0R0HRF3;F1
A0A0R0HSA4;F1
A0A0R0HSW8;F1
A0A0R0HSY5;F1
A0A0R0HV32;F1
A0A0R0I1P8;F1
A0A0R0I4J2;F1
A0A0R0I5P4;F1
A0A0R0IEU9;F1
A0A0R0IF05;F1
A0A0R0ILQ4;F1
A0A0R0IMY2;F1
A0A0R0IWP5;F1
A0A0R0IXY8;F1
A0A0R0IZQ9;F1
A0A0R0J369;F1
A0A0R0J384;F1
A0A0R0J3D2;F1
A0A0R0J4F3;F1
A0A0R0J904;F1
A0A0R0JCA0;F1
A0A0R0JDW0;F1
A0A0R0JF54;F1
A0A0R0JKV2;F1
A0A0R0JKV3;F1
A0A0R0JLF7;F1
A0A0R0JM44;F1
A0A0R0JQ04;F1
A0A0R0JQ05;F1
A0A0R0JS55;F1
A0A0R0JSJ9;F1
A0A0R0JSY5;F1
A0A0R0JT57;F1
A0A0R0JTC5;F1
A0A0R0JV01;F1
A0A0R0K2F0;F1
A0A0R0K300;F1
A0A0R0K5U6;F1
A0A0R0K6R0;F1
A0A0R0K7N3;F1
A0A0R0KD34;F1
A0A0R0KEI4;F1
A0A0R0KET0;F1
A0A0R0KF41;F1
A0A0R0KFN2;F1
A0A0R0KLU6;F1
A0A0R0KNZ6;F1
A0A0R0KRZ3;F1
A0A0R0KS89;F1
A0A0R0KSF9;F1
A0A0R0KT13;F1
A0A0R0KU78;F1
A0A0R0KZ58;F1
A0A0R0KZV5;F1
A0A0R0L246;F1
A0A0R0L5L0;F1
A0A0R0LB34;F1
A0A0R0LCE1;F1
A0A0R0LD71;F1
A0A0R0LFN3;F1
A0A0R0LG91;F1
A0A0R0LI21;F1
A0A0R3P9C0;F1
A0A0R4I9F1;F1
A0A0R4I9I4;F1
A0A0R4IAV9;F1
A0A0R4IC31;F1
A0A0R4ICD5;F1
A0A0R4ICL0;F1
A0A0R4ID77;F1
A0A0R4IFK5;F1
A0A0R4IGJ6;F1
A0A0R4IH76;F1
A0A0R4IHP4;F1
A0A0R4IIA6;F1
A0A0R4IJF7;F1
A0A0R4IKE2;F1
A0A0R4IKJ3;F1
A0A0R4IKQ9;F1
A0A0R4IM47;F1
A0A0R4IN23;F1
A0A0R4INF0;F1
A0A0R4IPD6;F1
A0A0R4IPD9;F1
A0A0R4IPR0;F1
A0A0R4IQJ2;F1
A0A0R4IQW1;F1
A0A0R4IR54;F1
A0A0R4IRJ4;F1
A0A0R4IRJ7;F1
A0A0R4ISE6;F1
A0A0R4ISF7;F1
A0A0R4ISW4;F1
A0A0R4IT72;F1
A0A0R4IUG1;F1
A0A0R4IUU7;F1
A0A0R4IVQ1;F1
A0A0R4IW47;F1
A0A0R4IWW7;F1
A0A0R4IXE5;F1
A0A0R4IXN1;F1
A0A0R4IXN5;F1
A0A0R4IY58;F1
A0A0R4IY72;F1
A0A0R4IY90;F1
A0A0R4IYL8;F1
A0A0R4IZ89;F1
A0A0S0WNI0;F1
A0A131MBI8;F1
A0A140LG11;F1
A0A140LGH8;F1
A0A140LGY7;F1
A0A140LH23;F1
A0A140LH83;F1
A0A143ZVJ7;F1
A0A143ZVL6;F1
A0A143ZXC4;F1
A0A143ZXM1;F1
A0A143ZXS2;F1
A0A143ZXT6;F1
A0A143ZY53;F1
A0A143ZZY8;F1
A0A144A026;F1
A0A144A039;F1
A0A144A0C0;F1
A0A144A0J8;F1
A0A144A0J9;F1
A0A144A140;F1
A0A144A1B2;F1
A0A144A1X7;F1
A0A144A2K5;F1
A0A144A3R0;F1
A0A144A488;F1
A0A144A5C9;F1
A0A1B0GT45;F1
A0A1B0GUW6;F1
A0A1B0GV85;F1
A0A1B0GWL4;F1
A0A1B0GWQ8;F1
A0A1B1LZI1;F1
A0A1D5NS60;F1
A0A1D5NS94;F1
A0A1D5NSI1;F1
A0A1D5NSI4;F1
A0A1D5NSW6;F1
A0A1D5NSW7;F1
A0A1D5RMD1;F1
A0A1D6DU10;F1
A0A1D6DUP5;F1
A0A1D6DV04;F1
A0A1D6DZ24;F1
A0A1D6DZK4;F1
A0A1D6E047;F1
A0A1D6E0F0;F1
A0A1D6E1F6;F1
A0A1D6E238;F1
A0A1D6E268;F1
A0A1D6E3C1;F1
A0A1D6E3G8;F1
A0A1D6E4E1;F1
A0A1D6E5T4;F1
A0A1D6E5T6;F1
A0A1D6E643;F1
A0A1D6E8P3;F1
A0A1D6E935;F1
A0A1D6EA10;F1
A0A1D6EA75;F1
A0A1D6EBT8;F1
A0A1D6EC14;F1
A0A1D6ECH4;F1
A0A1D6ECI1;F1
A0A1D6EEV5;F1
A0A1D6EEZ6;F1
A0A1D6EH05;F1
A0A1D6EID7;F1
A0A1D6EIR1;F1
A0A1D6EJX1;F1
A0A1D6EKM9;F1
A0A1D6EKN6;F1
A0A1D6ELR7;F1
A0A1D6ELS2;F1
A0A1D6ENF9;F1
A0A1D6ENN1;F1
A0A1D6ER77;F1
A0A1D6ERF3;F1
A0A1D6ES13;F1
A0A1D6ESC2;F1
A0A1D6ETA1;F1
A0A1D6EUS2;F1
A0A1D6EV07;F1
A0A1D6EVE9;F1
A0A1D6EW17;F1
A0A1D6EWJ5;F1
A0A1D6EWL6;F1
A0A1D6EWT6;F1
A0A1D6EXV0;F1
A0A1D6EXV2;F1
A0A1D6EZN2;F1
A0A1D6F0W4;F1
A0A1D6F1J0;F1
A0A1D6F265;F1
A0A1D6F2C0;F1
A0A1D6F3Z3;F1
A0A1D6F4E5;F1
A0A1D6F5S9;F1
A0A1D6F6S0;F1
A0A1D6F752;F1
A0A1D6FAF5;F1
A0A1D6FC28;F1
A0A1D6FCQ6;F1
A0A1D6FF36;F1
A0A1D6FGN3;F1
A0A1D6FHB2;F1
A0A1D6FHP2;F1
A0A1D6FHT0;F1
A0A1D6FHW2;F1
A0A1D6FI90;F1
A0A1D6FKV6;F1
A0A1D6FL46;F1
A0A1D6FLM0;F1
A0A1D6FLX4;F1
A0A1D6FNU9;F1
A0A1D6FPM9;F1
A0A1D6FQL7;F1
A0A1D6FRX1;F1
A0A1D6FTA8;F1
A0A1D6FUL5;F1
A0A1D6FUX8;F1
A0A1D6FV45;F1
A0A1D6FVM3;F1
A0A1D6FWM9;F1
A0A1D6FXL1;F1
A0A1D6FY32;F1
A0A1D6G2B5;F1
A0A1D6G4L8;F1
A0A1D6G4Z5;F1
A0A1D6G529;F1
A0A1D6G5F4;F1
A0A1D6G5P4;F1
A0A1D6G7X6;F1
A0A1D6G8Y8;F1
A0A1D6G9Y3;F1
A0A1D6GBR6;F1
A0A1D6GC21;F1
A0A1D6GFW8;F1
A0A1D6GGI2;F1
A0A1D6GGX9;F1
A0A1D6GHI6;F1
A0A1D6GK82;F1
A0A1D6GKB8;F1
A0A1D6GL14;F1
A0A1D6GL50;F1
A0A1D6GL70;F1
A0A1D6GL74;F1
A0A1D6GLT0;F1
A0A1D6GMD6;F1
A0A1D6GN10;F1
A0A1D6GNK7;F1
A0A1D6GNU0;F1
A0A1D6GQI1;F1
A0A1D6GR09;F1
A0A1D6GSA3;F1
A0A1D6GSG6;F1
A0A1D6GUZ6;F1
A0A1D6GVG1;F1
A0A1D6GVY0;F1
A0A1D6GWB0;F1
A0A1D6GY69;F1
A0A1D6GYP5;F1
A0A1D6GZE6;F1
A0A1D6H079;F1
A0A1D6H0U2;F1
A0A1D6H1A4;F1
A0A1D6H2E4;F1
A0A1D6H2V1;F1
A0A1D6H5E5;F1
A0A1D6H5N4;F1
A0A1D6H6N4;F1
A0A1D6H7I1;F1
A0A1D6H860;F1
A0A1D6H8E2;F1
A0A1D6H8Y9;F1
A0A1D6H9B7;F1
A0A1D6HA73;F1
A0A1D6HA97;F1
A0A1D6HAE6;F1
A0A1D6HCH1;F1
A0A1D6HCS4;F1
A0A1D6HD40;F1
A0A1D6HE34;F1
A0A1D6HET2;F1
A0A1D6HET4;F1
A0A1D6HFU3;F1
A0A1D6HHP2;F1
A0A1D6HIA8;F1
A0A1D6HIH1;F1
A0A1D6HJ15;F1
A0A1D6HK71;F1
A0A1D6HL71;F1
A0A1D6HLN9;F1
A0A1D6HN40;F1
A0A1D6HPB7;F1
A0A1D6HPV4;F1
A0A1D6HR98;F1
A0A1D6HRZ4;F1
A0A1D6HTA3;F1
A0A1D6HTG4;F1
A0A1D6HUF3;F1
A0A1D6HV16;F1
A0A1D6HW12;F1
A0A1D6HW69;F1
A0A1D6HY77;F1
A0A1D6HY89;F1
A0A1D6HZE1;F1
A0A1D6I339;F1
A0A1D6I352;F1
A0A1D6I3K3;F1
A0A1D6I3P5;F1
A0A1D6I3X2;F1
A0A1D6I459;F1
A0A1D6I485;F1
A0A1D6I6M5;F1
A0A1D6I6Q5;F1
A0A1D6I7B1;F1
A0A1D6I8F3;F1
A0A1D6I9E7;F1
A0A1D6IAQ8;F1
A0A1D6ICI0;F1
A0A1D6IDX8;F1
A0A1D6IE73;F1
A0A1D6IEV2;F1
A0A1D6IGX5;F1
A0A1D6IHB6;F1
A0A1D6IID1;F1
A0A1D6IKJ1;F1
A0A1D6IKY7;F1
A0A1D6IMF4;F1
A0A1D6IN23;F1
A0A1D6INK8;F1
A0A1D6IP69;F1
A0A1D6IRD2;F1
A0A1D6IS44;F1
A0A1D6ITY2;F1
A0A1D6ITY6;F1
A0A1D6IUP7;F1
A0A1D6IVZ6;F1
A0A1D6IW19;F1
A0A1D6J038;F1
A0A1D6J073;F1
A0A1D6J7S4;F1
A0A1D6J8T3;F1
A0A1D6JAZ1;F1
A0A1D6JB89;F1
A0A1D6JB98;F1
A0A1D6JBB9;F1
A0A1D6JBC7;F1
A0A1D6JBK6;F1
A0A1D6JCY5;F1
A0A1D6JDG7;F1
A0A1D6JEW4;F1
A0A1D6JG60;F1
A0A1D6JGM5;F1
A0A1D6JHN7;F1
A0A1D6JI63;F1
A0A1D6JJ37;F1
A0A1D6JJD9;F1
A0A1D6JJK7;F1
A0A1D6JK44;F1
A0A1D6JL09;F1
A0A1D6JL37;F1
A0A1D6JLE1;F1
A0A1D6JP11;F1
A0A1D6JP88;F1
A0A1D6JPH1;F1
A0A1D6JR28;F1
A0A1D6JV89;F1
A0A1D6JVI7;F1
A0A1D6JWT7;F1
A0A1D6JXN5;F1
A0A1D6JYK6;F1
A0A1D6K137;F1
A0A1D6K453;F1
A0A1D6K481;F1
A0A1D6K567;F1
A0A1D6K577;F1
A0A1D6K5Y2;F1
A0A1D6K6E8;F1
A0A1D6K8P8;F1
A0A1D6K8U9;F1
A0A1D6K9A0;F1
A0A1D6K9B7;F1
A0A1D6KBM0;F1
A0A1D6KCE5;F1
A0A1D6KDE7;F1
A0A1D6KDY9;F1
A0A1D6KE38;F1
A0A1D6KE76;F1
A0A1D6KED8;F1
A0A1D6KEE4;F1
A0A1D6KEZ5;F1
A0A1D6KGL2;F1
A0A1D6KH75;F1
A0A1D6KI03;F1
A0A1D6KIQ4;F1
A0A1D6KJM2;F1
A0A1D6KK93;F1
A0A1D6KKN3;F1
A0A1D6KL88;F1
A0A1D6KL89;F1
A0A1D6KLU5;F1
A0A1D6KM35;F1
A0A1D6KMM7;F1
A0A1D6KN30;F1
A0A1D6KNG9;F1
A0A1D6KNM6;F1
A0A1D6KQ06;F1
A0A1D6KQ46;F1
A0A1D6KS86;F1
A0A1D6KSU6;F1
A0A1D6KTX7;F1
A0A1D6KUY8;F1
A0A1D6KVL8;F1
A0A1D6KVU4;F1
A0A1D6KWP0;F1
A0A1D6KZ93;F1
A0A1D6L2M2;F1
A0A1D6L2S4;F1
A0A1D6L2X1;F1
A0A1D6L4S2;F1
A0A1D6L5W4;F1
A0A1D6L6Z4;F1
A0A1D6L7K1;F1
A0A1D6L9A9;F1
A0A1D6LA89;F1
A0A1D6LBB0;F1
A0A1D6LBD1;F1
A0A1D6LBR9;F1
A0A1D6LFB5;F1
A0A1D6LGI2;F1
A0A1D6LH19;F1
A0A1D6LHD0;F1
A0A1D6LHN0;F1
