gene pdb chain
P52643 AF A
P52644 AF A
P52645 AF A
P52647 AF A
P52696 AF A
P52697 AF A
P54745 AF A
P54746 AF A
P54901 AF A
P55135 AF A
P55138 AF A
P55140 AF A
P55734 AF A
P55798 AF A
P55799 AF A
P56100 AF A
P56256 AF A
P56258 AF A
P56259 AF A
P56262 AF A
P56579 AF A
P56580 AF A
P56976 AF A
P57998 AF A
P58033 AF A
P58034 AF A
P58035 AF A
P58036 AF A
P58041 AF A
P58042 AF A
P58094 AF A
P60061 AF A
P60240 AF A
P60293 AF A
P60340 AF A
P60390 AF A
P60422 AF A
P60438 AF A
P60472 AF A
P60546 AF A
P60560 AF A
P60566 AF A
P60584 AF A
P60595 AF A
P60624 AF A
P60632 AF A
P60651 AF A
P60664 AF A
P60716 AF A
P60720 AF A
P60723 AF A
P60752 AF A
P60757 AF A
P60778 AF A
P60782 AF A
P60785 AF A
P60844 AF A
P60869 AF A
P60872 AF A
P60906 AF A
P60932 AF A
P60955 AF A
P60995 AF A
P61175 AF A
P61316 AF A
P61320 AF A
P61517 AF A
P61714 AF A
P61887 AF A
P61889 AF A
P61949 AF A
P62399 AF A
P62517 AF A
P62522 AF A
P62601 AF A
P62615 AF A
P62617 AF A
P62620 AF A
P62623 AF A
P62672 AF A
P62707 AF A
P62723 AF A
P62768 AF A
P63020 AF A
P63177 AF A
P63183 AF A
P63201 AF A
P63204 AF A
P63224 AF A
P63228 AF A
P63235 AF A
P63264 AF A
P63284 AF A
P63340 AF A
P63386 AF A
P63389 AF A
P63417 AF A
P63746 AF A
P63883 AF A
P64423 AF A
P64426 AF A
P64429 AF A
P64432 AF A
P64435 AF A
P64439 AF A
P64442 AF A
P64445 AF A
P64448 AF A
P64451 AF A
P64453 AF A
P64455 AF A
P64459 AF A
P64461 AF A
P64463 AF A
P64471 AF A
P64474 AF A
P64476 AF A
P64479 AF A
P64481 AF A
P64483 AF A
P64485 AF A
P64488 AF A
P64490 AF A
P64493 AF A
P64496 AF A
P64499 AF A
P64503 AF A
P64506 AF A
P64512 AF A
P64515 AF A
P64517 AF A
P64519 AF A
P64521 AF A
P64524 AF A
P64526 AF A
P64530 AF A
P64534 AF A
P64536 AF A
P64540 AF A
P64545 AF A
P64548 AF A
P64554 AF A
P64557 AF A
P64559 AF A
P64562 AF A
P64564 AF A
P64572 AF A
P64574 AF A
P64578 AF A
P64581 AF A
P64585 AF A
P64588 AF A
P64590 AF A
P64592 AF A
P64594 AF A
P64596 AF A
P64599 AF A
P64602 AF A
P64604 AF A
P64606 AF A
P64610 AF A
P64612 AF A
P64614 AF A
P64616 AF A
P64619 AF A
P64622 AF A
P64624 AF A
P64627 AF A
P64631 AF A
P64634 AF A
P64636 AF A
P64638 AF A
P65292 AF A
P65294 AF A
P65298 AF A
P65367 AF A
P65556 AF A
P65643 AF A
P65807 AF A
P65870 AF A
P66817 AF A
P66899 AF A
P66948 AF A
P67080 AF A
P67087 AF A
P67095 AF A
P67127 AF A
P67143 AF A
P67153 AF A
P67244 AF A
P67338 AF A
P67430 AF A
P67444 AF A
P67553 AF A
P67601 AF A
P67603 AF A
P67624 AF A
P67660 AF A
P67662 AF A
P67697 AF A
P67699 AF A
P67701 AF A
P67729 AF A
P67762 AF A
P67826 AF A
P67910 AF A
P68066 AF A
P68183 AF A
P68187 AF A
P68191 AF A
P68206 AF A
P68398 AF A
P68567 AF A
P68644 AF A
P68646 AF A
P68661 AF A
P68679 AF A
P68688 AF A
P68699 AF A
P68739 AF A
P68767 AF A
P68919 AF A
P69054 AF A
P69210 AF A
P69212 AF A
P69222 AF A
P69228 AF A
P69330 AF A
P69346 AF A
P69348 AF A
P69367 AF A
P69380 AF A
P69411 AF A
P69423 AF A
P69428 AF A
P69434 AF A
P69441 AF A
P69451 AF A
P69488 AF A
P69490 AF A
P69503 AF A
P69506 AF A
P69681 AF A
P69739 AF A
P69741 AF A
P69776 AF A
P69783 AF A
P69786 AF A
P69789 AF A
P69791 AF A
P69795 AF A
P69797 AF A
P69801 AF A
P69805 AF A
P69808 AF A
P69811 AF A
P69816 AF A
P69820 AF A
P69822 AF A
P69824 AF A
P69826 AF A
P69828 AF A
P69829 AF A
P69831 AF A
P69853 AF A
P69856 AF A
P69874 AF A
P69902 AF A
P69908 AF A
P69910 AF A
P69913 AF A
P69922 AF A
P69924 AF A
P69931 AF A
P69937 AF A
P71229 AF A
P71237 AF A
P71238 AF A
P71239 AF A
P71241 AF A
P71242 AF A
P71243 AF A
P71244 AF A
P71296 AF A
P71298 AF A
P71301 AF A
P71311 AF A
P75617 AF A
P75672 AF A
P75675 AF A
P75676 AF A
P75677 AF A
P75678 AF A
P75679 AF A
P75680 AF A
P75681 AF A
P75682 AF A
P75683 AF A
P75684 AF A
P75685 AF A
P75687 AF A
P75691 AF A
P75693 AF A
P75694 AF A
P75697 AF A
P75704 AF A
P75712 AF A
P75713 AF A
P75715 AF A
P75717 AF A
P75718 AF A
P75719 AF A
P75726 AF A
P75728 AF A
P75733 AF A
P75734 AF A
P75736 AF A
P75737 AF A
P75741 AF A
P75742 AF A
P75745 AF A
P75746 AF A
P75747 AF A
P75748 AF A
P75749 AF A
P75750 AF A
P75757 AF A
P75763 AF A
P75764 AF A
P75767 AF A
P75769 AF A
P75770 AF A
P75777 AF A
P75779 AF A
P75780 AF A
P75782 AF A
P75783 AF A
P75785 AF A
P75788 AF A
P75791 AF A
P75792 AF A
P75793 AF A
P75794 AF A
P75796 AF A
P75797 AF A
P75798 AF A
P75799 AF A
P75800 AF A
P75801 AF A
P75804 AF A
P75806 AF A
P75809 AF A
P75810 AF A
P75811 AF A
P75817 AF A
P75818 AF A
P75820 AF A
P75821 AF A
P75822 AF A
P75823 AF A
P75824 AF A
P75825 AF A
P75826 AF A
P75828 AF A
P75829 AF A
P75830 AF A
P75831 AF A
P75835 AF A
P75836 AF A
P75838 AF A
P75839 AF A
P75843 AF A
P75849 AF A
P75851 AF A
P75853 AF A
P75855 AF A
P75856 AF A
P75857 AF A
P75858 AF A
P75859 AF A
P75860 AF A
P75862 AF A
P75863 AF A
P75864 AF A
P75867 AF A
P75869 AF A
P75870 AF A
P75874 AF A
P75876 AF A
P75882 AF A
P75883 AF A
P75884 AF A
P75892 AF A
P75893 AF A
P75894 AF A
P75895 AF A
P75897 AF A
P75898 AF A
P75905 AF A
P75906 AF A
P75908 AF A
P75910 AF A
P75913 AF A
P75914 AF A
P75915 AF A
P75916 AF A
P75917 AF A
P75919 AF A
P75920 AF A
P75925 AF A
P75931 AF A
P75933 AF A
P75936 AF A
P75937 AF A
P75938 AF A
P75942 AF A
P75946 AF A
P75948 AF A
P75949 AF A
P75952 AF A
P75954 AF A
P75955 AF A
P75957 AF A
P75958 AF A
P75959 AF A
P75960 AF A
P75961 AF A
P75962 AF A
P75966 AF A
P75967 AF A
P75968 AF A
P75969 AF A
P75970 AF A
P75972 AF A
P75973 AF A
P75974 AF A
P75975 AF A
P75976 AF A
P75978 AF A
P75979 AF A
P75980 AF A
P75981 AF A
P75982 AF A
P75987 AF A
P75988 AF A
P75989 AF A
P75990 AF A
P75991 AF A
P75992 AF A
P75993 AF A
P75994 AF A
P75995 AF A
P76001 AF A
P76002 AF A
P76004 AF A
P76007 AF A
P76008 AF A
P76010 AF A
P76011 AF A
P76014 AF A
P76015 AF A
P76016 AF A
P76017 AF A
P76027 AF A
P76034 AF A
P76035 AF A
P76037 AF A
P76038 AF A
P76041 AF A
P76042 AF A
P76043 AF A
P76044 AF A
P76045 AF A
P76046 AF A
P76049 AF A
P76052 AF A
P76053 AF A
P76055 AF A
P76056 AF A
P76057 AF A
P76061 AF A
P76062 AF A
P76063 AF A
P76064 AF A
P76065 AF A
P76066 AF A
P76068 AF A
P76069 AF A
P76071 AF A
P76072 AF A
P76073 AF A
P76076 AF A
P76077 AF A
P76078 AF A
P76079 AF A
P76080 AF A
P76081 AF A
P76082 AF A
P76083 AF A
P76084 AF A
P76085 AF A
P76086 AF A
P76090 AF A
P76091 AF A
P76092 AF A
P76093 AF A
P76097 AF A
P76100 AF A
P76102 AF A
P76103 AF A
P76104 AF A
P76106 AF A
P76108 AF A
P76111 AF A
P76112 AF A
P76113 AF A
P76114 AF A
P76115 AF A
P76116 AF A
P76117 AF A
P76119 AF A
P76121 AF A
P76123 AF A
P76127 AF A
P76128 AF A
P76129 AF A
P76134 AF A
P76135 AF A
P76136 AF A
P76137 AF A
P76141 AF A
P76142 AF A
P76143 AF A
P76145 AF A
P76146 AF A
P76147 AF A
P76148 AF A
P76149 AF A
P76154 AF A
P76155 AF A
P76156 AF A
P76157 AF A
P76158 AF A
P76159 AF A
P76160 AF A
P76161 AF A
P76162 AF A
P76164 AF A
P76165 AF A
P76168 AF A
P76169 AF A
P76170 AF A
P76172 AF A
P76173 AF A
P76175 AF A
P76176 AF A
P76177 AF A
P76180 AF A
P76182 AF A
P76185 AF A
P76186 AF A
P76187 AF A
P76190 AF A
P76192 AF A
P76193 AF A
P76194 AF A
P76196 AF A
P76197 AF A
P76198 AF A
P76201 AF A
P76204 AF A
P76206 AF A
P76208 AF A
P76213 AF A
P76214 AF A
P76215 AF A
P76216 AF A
P76217 AF A
P76219 AF A
P76220 AF A
P76221 AF A
P76222 AF A
P76223 AF A
P76224 AF A
P76226 AF A
P76227 AF A
P76228 AF A
P76230 AF A
P76231 AF A
P76234 AF A
P76235 AF A
P76236 AF A
P76237 AF A
P76239 AF A
P76241 AF A
P76242 AF A
P76243 AF A
P76245 AF A
P76249 AF A
P76250 AF A
P76251 AF A
P76254 AF A
P76256 AF A
P76257 AF A
P76261 AF A
P76264 AF A
P76268 AF A
P76269 AF A
P76270 AF A
P76272 AF A
P76273 AF A
P76275 AF A
P76278 AF A
P76280 AF A
P76290 AF A
P76291 AF A
P76296 AF A
P76297 AF A
P76298 AF A
P76299 AF A
P76308 AF A
P76316 AF A
P76318 AF A
P76319 AF A
P76323 AF A
P76329 AF A
P76330 AF A
P76335 AF A
P76339 AF A
P76340 AF A
P76341 AF A
P76342 AF A
P76343 AF A
P76344 AF A
P76345 AF A
P76346 AF A
P76347 AF A
P76349 AF A
P76350 AF A
P76352 AF A
P76361 AF A
P76362 AF A
P76364 AF A
P76369 AF A
P76372 AF A
P76373 AF A
P76387 AF A
P76389 AF A
P76393 AF A
P76394 AF A
P76395 AF A
P76396 AF A
P76397 AF A
P76398 AF A
P76399 AF A
P76402 AF A
P76403 AF A
P76406 AF A
P76407 AF A
P76417 AF A
P76418 AF A
P76419 AF A
P76421 AF A
P76422 AF A
P76423 AF A
P76425 AF A
P76440 AF A
P76445 AF A
P76446 AF A
P76458 AF A
P76459 AF A
P76460 AF A
P76461 AF A
P76462 AF A
P76463 AF A
P76464 AF A
P76466 AF A
P76469 AF A
P76470 AF A
P76471 AF A
P76472 AF A
P76473 AF A
P76474 AF A
P76481 AF A
P76482 AF A
P76483 AF A
P76484 AF A
P76485 AF A
P76486 AF A
P76491 AF A
P76498 AF A
P76499 AF A
P76500 AF A
P76501 AF A
P76502 AF A
P76503 AF A
P76506 AF A
P76507 AF A
P76508 AF A
P76509 AF A
P76510 AF A
P76512 AF A
P76513 AF A
P76514 AF A
P76515 AF A
P76516 AF A
P76518 AF A
P76520 AF A
P76521 AF A
P76524 AF A
P76535 AF A
P76536 AF A
P76537 AF A
P76538 AF A
P76539 AF A
P76540 AF A
P76541 AF A
P76542 AF A
P76544 AF A
P76546 AF A
P76549 AF A
P76551 AF A
P76552 AF A
P76553 AF A
P76555 AF A
P76556 AF A
P76558 AF A
P76559 AF A
P76561 AF A
P76562 AF A
P76569 AF A
P76573 AF A
P76575 AF A
P76576 AF A
P76577 AF A
P76578 AF A
P76584 AF A
P76585 AF A
P76586 AF A
P76594 AF A
P76616 AF A
P76621 AF A
P76628 AF A
P76630 AF A
P76632 AF A
P76633 AF A
P76639 AF A
P76641 AF A
P76655 AF A
P76656 AF A
P76657 AF A
P76658 AF A
P76773 AF A
P76909 AF A
P76938 AF A
P77031 AF A
P77044 AF A
P77087 AF A
P77091 AF A
P77129 AF A
P77147 AF A
P77148 AF A
P77150 AF A
P77154 AF A
P77156 AF A
P77161 AF A
P77162 AF A
P77163 AF A
P77165 AF A
P77169 AF A
P77170 AF A
P77171 AF A
P77172 AF A
P77173 AF A
P77174 AF A
P77179 AF A
P77180 AF A
P77181 AF A
P77182 AF A
P77183 AF A
P77187 AF A
P77188 AF A
P77196 AF A
P77199 AF A
P77202 AF A
P77206 AF A
P77211 AF A
P77212 AF A
P77213 AF A
P77214 AF A
P77215 AF A
P77216 AF A
P77218 AF A
P77219 AF A
P77221 AF A
P77223 AF A
P77228 AF A
P77231 AF A
P77234 AF A
P77237 AF A
P77239 AF A
P77243 AF A
P77245 AF A
P77247 AF A
P77249 AF A
P77252 AF A
P77256 AF A
P77257 AF A
P77258 AF A
P77260 AF A
P77263 AF A
P77265 AF A
P77268 AF A
P77269 AF A
P77272 AF A
P77277 AF A
P77279 AF A
P77280 AF A
P77285 AF A
P77286 AF A
P77288 AF A
P77293 AF A
P77294 AF A
P77295 AF A
P77296 AF A
P77297 AF A
P77300 AF A
P77301 AF A
P77302 AF A
P77304 AF A
P77306 AF A
P77307 AF A
P77308 AF A
P77309 AF A
P77315 AF A
P77316 AF A
P77318 AF A
P77319 AF A
P77324 AF A
P77326 AF A
P77328 AF A
P77329 AF A
P77330 AF A
P77333 AF A
P77334 AF A
P77335 AF A
P77337 AF A
P77338 AF A
P77339 AF A
P77348 AF A
P77354 AF A
P77357 AF A
P77359 AF A
P77360 AF A
P77364 AF A
P77365 AF A
P77366 AF A
P77368 AF A
P77374 AF A
P77375 AF A
P77376 AF A
P77377 AF A
P77378 AF A
P77379 AF A
P77381 AF A
P77389 AF A
P77390 AF A
P77395 AF A
P77396 AF A
P77397 AF A
P77398 AF A
P77399 AF A
P77400 AF A
P77402 AF A
P77409 AF A
P77414 AF A
P77416 AF A
P77423 AF A
P77425 AF A
P77427 AF A
P77432 AF A
P77433 AF A
P77434 AF A
P77437 AF A
P77439 AF A
P77444 AF A
P77445 AF A
P77453 AF A
P77454 AF A
P77455 AF A
P77460 AF A
P77463 AF A
P77467 AF A
P77468 AF A
P77473 AF A
P77475 AF A
P77481 AF A
P77485 AF A
P77488 AF A
P77489 AF A
P77493 AF A
P77494 AF A
P77495 AF A
P77499 AF A
P77503 AF A
P77504 AF A
P77506 AF A
P77509 AF A
P77510 AF A
P77515 AF A
P77519 AF A
P77522 AF A
P77526 AF A
P77528 AF A
P77529 AF A
P77536 AF A
P77538 AF A
P77539 AF A
P77541 AF A
P77544 AF A
P77546 AF A
P77549 AF A
P77551 AF A
P77552 AF A
P77554 AF A
P77555 AF A
P77559 AF A
P77561 AF A
P77562 AF A
P77564 AF A
P77567 AF A
P77569 AF A
P77570 AF A
P77579 AF A
P77580 AF A
P77581 AF A
P77585 AF A
P77588 AF A
P77589 AF A
P77596 AF A
P77598 AF A
P77599 AF A
P77601 AF A
P77607 AF A
P77608 AF A
P77609 AF A
P77610 AF A
P77611 AF A
P77615 AF A
P77616 AF A
P77619 AF A
P77622 AF A
P77624 AF A
P77625 AF A
P77626 AF A
P77627 AF A
P77634 AF A
P77649 AF A
P77650 AF A
P77656 AF A
P77657 AF A
P77658 AF A
P77667 AF A
P77668 AF A
P77671 AF A
P77672 AF A
P77674 AF A
P77682 AF A
P77688 AF A
P77689 AF A
P77690 AF A
P77692 AF A
P77694 AF A
P77695 AF A
P77698 AF A
P77699 AF A
P77700 AF A
P77704 AF A
P77712 AF A
P77713 AF A
P77714 AF A
P77716 AF A
P77717 AF A
P77718 AF A
P77721 AF A
P77726 AF A
P77730 AF A
P77731 AF A
P77732 AF A
P77733 AF A
P77735 AF A
P77736 AF A
P77737 AF A
P77739 AF A
P77743 AF A
P77744 AF A
P77746 AF A
P77747 AF A
P77748 AF A
P77754 AF A
P77756 AF A
P77757 AF A
P77759 AF A
P77766 AF A
P77768 AF A
P77774 AF A
P77775 AF A
P77779 AF A
P77781 AF A
P77783 AF A
P77788 AF A
P77789 AF A
P77790 AF A
P77791 AF A
P77795 AF A
P77802 AF A
P77804 AF A
P77806 AF A
P77808 AF A
P77858 AF A
P78055 AF A
P78061 AF A
P78067 AF A
P78271 AF A
P78285 AF A
P80644 AF A
P80645 AF A
P80668 AF A
Q06065 AF A
Q06067 AF A
Q2EEP9 AF A
Q2EEQ2 AF A
Q2EEQ8 AF A
Q2EER5 AF A
Q2EES0 AF A
Q2EES1 AF A
Q2EES6 AF A
Q2EES9 AF A
Q2EET2 AF A
Q2EEU2 AF A
Q2M5U1 AF A
Q2M7M3 AF A
Q2M7R5 AF A
Q2M7X4 AF A
Q2MB16 AF A
Q46755 AF A
Q46787 AF A
Q46790 AF A
Q46791 AF A
Q46793 AF A
Q46795 AF A
Q46796 AF A
Q46797 AF A
Q46798 AF A
Q46799 AF A
Q46800 AF A
Q46801 AF A
Q46802 AF A
Q46803 AF A
Q46806 AF A
Q46807 AF A
Q46808 AF A
Q46809 AF A
Q46810 AF A
Q46811 AF A
Q46812 AF A
Q46814 AF A
Q46817 AF A
Q46819 AF A
Q46820 AF A
Q46821 AF A
Q46822 AF A
Q46824 AF A
Q46829 AF A
Q46831 AF A
Q46833 AF A
Q46834 AF A
Q46835 AF A
Q46836 AF A
Q46839 AF A
Q46840 AF A
Q46841 AF A
Q46843 AF A
Q46844 AF A
Q46845 AF A
Q46851 AF A
Q46855 AF A
Q46856 AF A
Q46857 AF A
Q46858 AF A
Q46861 AF A
Q46863 AF A
Q46864 AF A
Q46865 AF A
Q46866 AF A
Q46867 AF A
Q46868 AF A
Q46871 AF A
Q46877 AF A
Q46888 AF A
Q46889 AF A
Q46890 AF A
Q46891 AF A
Q46892 AF A
Q46893 AF A
Q46896 AF A
Q46897 AF A
Q46898 AF A
Q46899 AF A
Q46901 AF A
Q46904 AF A
Q46905 AF A
Q46906 AF A
Q46907 AF A
Q46908 AF A
Q46909 AF A
Q46911 AF A
Q46915 AF A
Q46916 AF A
Q46919 AF A
Q46920 AF A
Q46925 AF A
Q46927 AF A
Q46938 AF A
Q46939 AF A
Q46941 AF A
Q46942 AF A
Q46943 AF A
Q46948 AF A
Q46953 AF A
Q47005 AF A
Q47013 AF A
Q47083 AF A
Q47129 AF A
Q47138 AF A
Q47140 AF A
Q47141 AF A
Q47142 AF A
Q47146 AF A
Q47147 AF A
Q47149 AF A
Q47150 AF A
Q47151 AF A
Q47152 AF A
Q47153 AF A
Q47154 AF A
Q47155 AF A
Q47156 AF A
Q47157 AF A
Q47158 AF A
Q47208 AF A
Q47269 AF A
Q47270 AF A
Q47272 AF A
Q47274 AF A
Q47319 AF A
Q47377 AF A
Q47534 AF A
Q47536 AF A
Q47537 AF A
Q47538 AF A
Q47539 AF A
Q47622 AF A
Q47679 AF A
Q47684 AF A
Q47685 AF A
Q47688 AF A
Q47689 AF A
Q47690 AF A
Q47702 AF A
Q47706 AF A
Q47710 AF A
Q47718 AF A
Q47719 AF A
Q57083 AF A
Q57261 AF A
Q59385 AF A
Q6BEX0 AF A
Q6BEX5 AF A
Q6BF16 AF A
Q6BF17 AF A
Q6BF25 AF A
Q6BF87 AF A
Q79E92 AF A
Q7DFU6 AF A
Q7DFV3 AF A
Q7DFV4 AF A
Q93K97 AF A
Q9XB42 AF A
U3PVA8 AF A
V9HVX0 AF A
