gene pdb chain
P0A6U5 AF A
P0A6U8 AF A
P0A6V1 AF A
P0A6V5 AF A
P0A6V8 AF A
P0A6W0 AF A
P0A6W3 AF A
P0A6W5 AF A
P0A6W9 AF A
P0A6X1 AF A
P0A6X3 AF A
P0A6X7 AF A
P0A6Y1 AF A
P0A6Y5 AF A
P0A6Y8 AF A
P0A6Z1 AF A
P0A6Z3 AF A
P0A6Z6 AF A
P0A700 AF A
P0A703 AF A
P0A705 AF A
P0A707 AF A
P0A710 AF A
P0A712 AF A
P0A715 AF A
P0A717 AF A
P0A720 AF A
P0A722 AF A
P0A725 AF A
P0A729 AF A
P0A731 AF A
P0A734 AF A
P0A738 AF A
P0A742 AF A
P0A744 AF A
P0A746 AF A
P0A749 AF A
P0A752 AF A
P0A754 AF A
P0A756 AF A
P0A759 AF A
P0A761 AF A
P0A763 AF A
P0A766 AF A
P0A769 AF A
P0A772 AF A
P0A776 AF A
P0A780 AF A
P0A784 AF A
P0A786 AF A
P0A790 AF A
P0A794 AF A
P0A796 AF A
P0A799 AF A
P0A7A2 AF A
P0A7A5 AF A
P0A7A7 AF A
P0A7A9 AF A
P0A7B1 AF A
P0A7B3 AF A
P0A7B5 AF A
P0A7B8 AF A
P0A7C2 AF A
P0A7C6 AF A
P0A7C8 AF A
P0A7D1 AF A
P0A7D4 AF A
P0A7D7 AF A
P0A7E1 AF A
P0A7E3 AF A
P0A7E5 AF A
P0A7E9 AF A
P0A7F3 AF A
P0A7F6 AF A
P0A7F9 AF A
P0A7G2 AF A
P0A7G6 AF A
P0A7H0 AF A
P0A7H3 AF A
P0A7H6 AF A
P0A7I0 AF A
P0A7I4 AF A
P0A7I7 AF A
P0A7J0 AF A
P0A7J7 AF A
P0A7K2 AF A
P0A7K6 AF A
P0A7L0 AF A
P0A7L3 AF A
P0A7L8 AF A
P0A7M2 AF A
P0A7M6 AF A
P0A7M9 AF A
P0A7N1 AF A
P0A7N4 AF A
P0A7N9 AF A
P0A7P5 AF A
P0A7Q1 AF A
P0A7Q6 AF A
P0A7R1 AF A
