OR,OR_lb,OR_ub,pvalue,tag,buff,spa,LiPMScov,entN_nonrefoldedN,entY_nonrefoldedN,entN_nonrefoldedY,entY_nonrefoldedY,total_res,n,label
3.636363636363636,1.6210165461533452,9.17578125,0.0020195505869241,EXP_nonessential_CG_spa70_LiPMScov50,CG,70,50,20,41,11,82,154,154,EXP
5.032,2.0947474747474746,14.62660714285712,0.0004325575582079,EXP_nonessential_CG_spa80_LiPMScov50,CG,80,50,17,25,10,74,126,126,EXP
4.666666666666667,1.1108776844070962,22.010416666666668,0.0240287695650432,EXP_nonessential_CG_spa90_LiPMScov50,CG,90,50,6,9,7,49,71,71,EXP
4.878787878787879,2.44619708994709,9.9296875,6.458825019171234e-06,EXP_nonessential_C_spa0_LiPMScov50,C,0,50,24,22,36,161,243,243,EXP
4.878787878787879,2.506893193989968,10.0,6.458825019171234e-06,EXP_nonessential_C_spa10_LiPMScov50,C,10,50,24,22,36,161,243,243,EXP
4.878787878787879,2.476923076923077,10.26,6.458825019171234e-06,EXP_nonessential_C_spa20_LiPMScov50,C,20,50,24,22,36,161,243,243,EXP
4.878787878787879,2.4527975994060385,10.089583333333334,6.458825019171234e-06,EXP_nonessential_C_spa30_LiPMScov50,C,30,50,24,22,36,161,243,243,EXP
4.878787878787879,2.480614455084359,9.965437788018432,6.458825019171234e-06,EXP_nonessential_C_spa40_LiPMScov50,C,40,50,24,22,36,161,243,243,EXP
4.6,2.256893056849953,9.662216904404405,2.214969330558279e-05,EXP_nonessential_C_spa50_LiPMScov50,C,50,50,22,22,35,161,240,240,EXP
4.278074866310161,2.03539515780895,8.9711111111111,8.107846410244305e-05,EXP_nonessential_C_spa60_LiPMScov50,C,60,50,20,22,34,160,236,236,EXP
3.562962962962963,1.4814714714714714,8.324486926117356,0.0031328413211061,EXP_nonessential_C_spa70_LiPMScov50,C,70,50,13,18,30,148,209,209,EXP
5.363636363636363,1.4642857142857142,20.17391304347826,0.0055890387121489,EXP_nonessential_C_spa80_LiPMScov50,C,80,50,7,7,22,118,154,154,EXP
19.2,0.0,54.85714285714285,0.0135338345864661,EXP_nonessential_C_spa90_LiPMScov50,C,90,50,3,1,10,64,78,78,EXP
