,motif,D_type,Ess_n,NonEss_n,Ess_hits,NonEss_hits,Ess_mean,Ess_lower_ci,Ess_upper_ci,NonEss_mean,NonEss_lower_ci,NonEss_upper_ci,ratio,proportion,abs_diff,p_value,OnlyEnt,buff,spa,q_value,label
353,Schymkowitz,Loop,98,303,4,5,0.0001032733137935,2.1459687976136823e-05,0.0003179241177883,5.6544574976565904e-05,1.806689390626123e-05,0.0001457680928631,1.8264053419161137,0.6461937057753836,4.6728738817010274e-05,0.4821,True,C,40,0.8775866666666666,AF
429,Schymkowitz,All,98,302,6,8,0.0001948576376593,6.708260960275138e-05,0.0004577334340244,8.016153226786593e-05,3.591155226666308e-05,0.0001701491996546,2.430812287971845,0.7085238374871395,0.0001146961053915,0.1262,True,C,50,0.7031142857142857,AF
430,Schymkowitz,Thread,98,302,1,2,4.114549045424621e-05,0.0,0.0002057274522712,2.89625993655207e-05,0.0,0.0001216032425415,1.4206421852877251,0.5868864857111722,1.2182891088725512e-05,0.857,True,C,50,1.0,AF
431,Schymkowitz,Loop,98,302,4,5,0.0001032733137935,1.833348156828679e-05,0.0003116496173816,5.6731808668541285e-05,1.9254004859920723e-05,0.0001453806241593,1.8203776015137505,0.6454375472761942,4.654150512503489e-05,0.4837,True,C,50,0.8938800000000001,AF
507,Schymkowitz,All,98,294,6,8,0.0001948576376593,6.798281883852052e-05,0.0004586980143535,8.234279845202553e-05,3.653984011026934e-05,0.0001809552962278,2.366419909482525,0.7029485248755801,0.0001125148392073,0.1419,True,C,60,0.73788,AF
508,Schymkowitz,Thread,98,294,1,2,4.114549045424621e-05,0.0,0.0002057274522712,2.9750697307439632e-05,0.0,0.0001255520963205,1.3830092797171891,0.5803625237587502,1.139479314680658e-05,1.0,True,C,60,1.0,AF
509,Schymkowitz,Loop,98,294,4,5,0.0001032733137935,2.1459687976136823e-05,0.0003242412542823,5.827553135339955e-05,1.9493695247777143e-05,0.0001512842381302,1.772155678294843,0.6392698982132557,4.499778244017663e-05,0.4972,True,C,60,0.8646382978723405,AF
585,Schymkowitz,All,89,259,4,7,0.0001027711310425,2.018742914260793e-05,0.0003088759037936,7.551204615520399e-05,3.186769829320448e-05,0.0001761679563584,1.3609898853932212,0.5764488419934714,2.725908488737472e-05,0.7003,True,C,70,0.9359999999999998,AF
586,Schymkowitz,Thread,89,259,0,2,0.0,,,3.3771061808444985e-05,0.0,0.0001417921978669,0.0,0.0,3.3771061808444985e-05,0.8138,True,C,70,0.9359999999999998,AF
587,Schymkowitz,Loop,89,259,3,4,6.841041221634087e-05,1.181488439135623e-05,0.0002959703708438,4.819244566487179e-05,1.3429578646969953e-05,0.0001466683168614,1.4195256387705235,0.5866958448482704,2.0217966551469083e-05,0.8115,True,C,70,0.9359999999999998,AF
663,Schymkowitz,All,75,196,4,6,0.0001219550755038,2.395574924922808e-05,0.00035592980674,6.707838542827257e-05,2.3656898656898657e-05,0.0001392772653222,1.818097956968084,0.6451507310001838,5.487669007558749e-05,0.4162,True,C,80,1.0,AF
664,Schymkowitz,Thread,75,196,0,1,0.0,,,1.1920656112912454e-05,0.0,7.152393667747472e-05,0.0,0.0,1.1920656112912454e-05,1.0,True,C,80,1.0,AF
665,Schymkowitz,Loop,75,196,3,3,8.118035583005783e-05,1.4020329477742726e-05,0.0003620502090089,3.0977484780333604e-05,8.873114463176575e-06,8.988491269126491e-05,2.620624508597808,0.7238045542625797,5.020287104972423e-05,0.3038,True,C,80,0.9568,AF
741,Schymkowitz,All,50,93,4,3,0.0001829326132557,3.593362387384211e-05,0.0005314116816946,6.855787711327683e-05,1.8700327255726977e-05,0.0001908791950867,2.668294599518217,0.7273937594512346,0.0001143747361425,0.2197,True,C,90,1.0,AF
742,Schymkowitz,Thread,50,93,0,0,0.0,,,0.0,,,,,0.0,1.0,True,C,90,1.0,AF
743,Schymkowitz,Loop,50,93,3,1,0.000121770533745,2.103049421661409e-05,0.0004787820771901,1.8700327255726977e-05,0.0,0.0001122019635343,6.5116792920185125,0.8668739756950827,0.0001030702064893,0.0952,True,C,90,1.0,AF
