,motif,D_type,Ess_n,NonEss_n,Ess_hits,NonEss_hits,Ess_mean,Ess_lower_ci,Ess_upper_ci,NonEss_mean,NonEss_lower_ci,NonEss_upper_ci,ratio,proportion,abs_diff,p_value,OnlyEnt,buff,spa,q_value,label
275,Schymkowitz,Loop,81,183,1,3,4.978096375945838e-05,0.0,0.0002734900401174,3.31780711308491e-05,9.50344499881207e-06,9.289080048572698e-05,1.500417657287251,0.6000668140038179,1.660289262860928e-05,0.8507,True,C,30,1.0,EXP
351,Schymkowitz,All,81,183,4,5,0.0001436676713517,2.083535248968416e-05,0.0004332366208592,5.818231444776735e-05,2.1179686183249976e-05,0.0001283255294835,2.4692670395701777,0.711754676537124,8.548535690401231e-05,0.2429,True,C,40,0.8886558139534884,EXP
352,Schymkowitz,Thread,81,183,1,1,4.978096375945838e-05,0.0,0.0002904052254746,1.2767478678310609e-05,0.0,7.660487206986363e-05,3.8990442054958185,0.7958785513961713,3.7013485081147775e-05,0.3061,True,C,40,0.8886558139534884,EXP
353,Schymkowitz,Loop,81,183,1,3,4.978096375945838e-05,0.0,0.0002489048187972,3.31780711308491e-05,9.50344499881207e-06,9.234772838798924e-05,1.500417657287251,0.6000668140038179,1.660289262860928e-05,0.8534,True,C,40,1.0,EXP
429,Schymkowitz,All,81,183,4,5,0.0001436676713517,2.083535248968416e-05,0.0004391132728354,5.818231444776735e-05,2.1814294907452853e-05,0.0001299663289541,2.4692670395701777,0.711754676537124,8.548535690401231e-05,0.2453,True,C,50,0.87048,EXP
430,Schymkowitz,Thread,81,183,1,1,4.978096375945838e-05,0.0,0.0002690747884215,1.2767478678310609e-05,0.0,6.383739339155304e-05,3.8990442054958185,0.7958785513961713,3.7013485081147775e-05,0.3048,True,C,50,0.87048,EXP
431,Schymkowitz,Loop,81,183,1,3,4.978096375945838e-05,0.0,0.0002986857825567,3.31780711308491e-05,9.50344499881207e-06,9.329480207323378e-05,1.500417657287251,0.6000668140038179,1.660289262860928e-05,0.8507,True,C,50,1.0,EXP
507,Schymkowitz,All,80,182,4,5,0.0001454635172436,2.109579439580521e-05,0.0004629185021704,5.8501997494183655e-05,2.193415367068061e-05,0.0001301067948922,2.486470949272101,0.713177016372737,8.696151974949326e-05,0.2158,True,C,60,0.948257142857143,EXP
508,Schymkowitz,Thread,80,182,1,1,5.040322580645161e-05,0.0,0.0002520161290322,1.2837629660059564e-05,0.0,7.702577796035739e-05,3.9262096774193553,0.7970041745109273,3.756559614639205e-05,0.3006,True,C,60,0.948257142857143,EXP
509,Schymkowitz,Loop,80,182,1,3,5.040322580645161e-05,0.0,0.0002520161290322,3.336036822497465e-05,9.555661729574774e-06,9.761957241802008e-05,1.5108713868667114,0.6017318906772485,1.7042857581476966e-05,0.8457,True,C,60,1.0,EXP
585,Schymkowitz,All,72,166,2,5,2.343977155089468e-05,0.0,8.066871024798126e-05,6.4140744240611e-05,2.3348690189968343e-05,0.0001456774039366,0.3654427747667712,0.2676368292542994,4.070097268971632e-05,0.3281,True,C,70,0.9478444444444444,EXP
586,Schymkowitz,Thread,72,166,0,1,0.0,,,1.4074991555005066e-05,0.0,7.212718633254723e-05,0.0,0.0,1.4074991555005066e-05,1.0,True,C,70,1.0,EXP
587,Schymkowitz,Loop,72,166,0,3,0.0,,,3.6575825403285456e-05,1.0476689366160294e-05,0.0001028490890325,0.0,0.0,3.6575825403285456e-05,0.4427,True,C,70,0.9585567567567568,EXP
663,Schymkowitz,All,59,125,2,5,2.8604466977363e-05,0.0,9.844317182804494e-05,8.517890835153139e-05,3.1007060572277964e-05,0.0001906625341788,0.3358163133450011,0.2513940801516996,5.657444137416839e-05,0.3037,True,C,80,1.0,EXP
664,Schymkowitz,Thread,59,125,0,1,0.0,,,1.8691588785046727e-05,0.0,9.345794392523364e-05,0.0,0.0,1.8691588785046727e-05,1.0,True,C,80,1.0,EXP
665,Schymkowitz,Loop,59,125,0,3,0.0,,,4.857269613556309e-05,1.391304347826087e-05,0.0001385002439067,0.0,0.0,4.857269613556309e-05,0.3824,True,C,80,1.0,EXP
741,Schymkowitz,All,41,65,2,2,4.116252565035163e-05,0.0,0.0001416621253135,5.962896263899608e-05,0.0,0.0002117599977131,0.6903109467048184,0.4083928747255332,1.846643698864445e-05,0.7572,True,C,90,1.0,EXP
742,Schymkowitz,Thread,41,65,0,0,0.0,,,0.0,,,,,0.0,1.0,True,C,90,1.0,EXP
743,Schymkowitz,Loop,41,65,0,1,0.0,,,2.6755852842809364e-05,0.0,0.000133779264214,0.0,0.0,2.6755852842809364e-05,1.0,True,C,90,1.0,EXP
