motif,D_type,Ess_n,NonEss_n,Ess_hits,NonEss_hits,Ess_mean,Ess_lower_ci,Ess_upper_ci,NonEss_mean,NonEss_lower_ci,NonEss_upper_ci,ratio,proportion,abs_diff,p_value,OnlyEnt,buff,spa,q_value
Bukau5RF,D_Thread,138,415,0,2,0.0,,,1.6955806934458813e-05,0.0,7.005619218217064e-05,0.0,0.0,1.6955806934458813e-05,0.8161,False,C,30,0.98412
Bukau5RF,D_Loop,138,415,0,2,0.0,,,1.4623898656184424e-05,0.0,5.829770695685969e-05,0.0,0.0,1.4623898656184424e-05,0.8076,False,C,30,0.98412
Bukau5LF,D_All,138,415,2,12,2.9649223326599015e-05,0.0,0.0001060381813278,0.0001191019630861,6.168242913847164e-05,0.0002125725766931,0.2489398374161478,0.1993209199981671,8.945273975950595e-05,0.1777,False,C,30,0.7700333333333332
Bukau5LF,D_Thread,138,415,0,4,0.0,,,3.656693117339441e-05,1.1259993244004052e-05,0.0001030286847816,0.0,0.0,3.656693117339441e-05,0.4667,False,C,30,0.8796666666666666
Bukau5LF,D_Loop,138,415,1,7,1.2558711978499483e-05,0.0,7.423333941380223e-05,5.662345437973181e-05,2.3061424461017663e-05,0.0001249149485824,0.2217934620215406,0.1815310598033224,4.406474240123232e-05,0.322,False,C,30,0.8796666666666666
Bukau5,D_All,98,303,0,0,0.0,,,0.0,,,,,0.0,1.0,True,C,30,1.0
Bukau5,D_Thread,98,303,0,0,0.0,,,0.0,,,,,0.0,1.0,True,C,30,1.0
Bukau5,D_Loop,98,303,0,0,0.0,,,0.0,,,,,0.0,1.0,True,C,30,1.0
Bukau5RF,D_All,98,303,0,4,0.0,,,4.458066776422587e-05,1.330778239114234e-05,0.0001174638858049,0.0,0.0,4.458066776422587e-05,0.4702,True,C,30,0.8796666666666666
Bukau5RF,D_Thread,98,303,0,2,0.0,,,2.322329992673402e-05,0.0,0.0001057315507518,0.0,0.0,2.322329992673402e-05,0.8201,True,C,30,0.98412
Bukau5RF,D_Loop,98,303,0,2,0.0,,,2.002943215285985e-05,0.0,7.99485935442065e-05,0.0,0.0,2.002943215285985e-05,0.8047,True,C,30,0.98412
Bukau5LF,D_All,98,303,2,10,4.175094713337413e-05,0.0,0.0001493190716658,0.0001243082515982,5.909033208217696e-05,0.0002414172636791,0.3358662566369635,0.2514220678666629,8.25573044648284e-05,0.3018,True,C,30,0.8796666666666666
Bukau5LF,D_Thread,98,303,0,4,0.0,,,5.0083420584022045e-05,1.1786892975011786e-05,0.0001377393276521,0.0,0.0,5.0083420584022045e-05,0.4683,True,C,30,0.8796666666666666
Bukau5LF,D_Loop,98,303,1,7,1.7684716867682947e-05,0.0,8.842358433841474e-05,7.755357613065578e-05,3.118736002662693e-05,0.0001711408627881,0.2280322552488,0.1856891415304076,5.986885926297283e-05,0.33,True,C,30,0.8796666666666666
Schymkowitz,D_All,138,415,6,9,0.0001383771629755,4.763837493528721e-05,0.0003224117938756,7.050430794072425e-05,3.2054261085800395e-05,0.0001407855925899,1.9626767075260267,0.6624673905661996,6.787285503477752e-05,0.2493,False,C,30,0.817375
Schymkowitz,D_Thread,138,415,1,2,2.92192613370734e-05,0.0,0.0001623288779477,2.107639761057169e-05,0.0,9.267840593141798e-05,1.38634988184211,0.5809499656320039,8.142863726501706e-06,1.0,False,C,30,1.0
Schymkowitz,D_Loop,138,415,4,5,7.33390199403657e-05,1.5239488562763832e-05,0.0002233382697608,4.128435233228788e-05,1.2572027239392353e-05,0.0001059506990757,1.7764362475660866,0.6398260536770357,3.205466760807782e-05,0.4895,False,C,30,0.8796666666666666
Schymkowitz,D_All,98,303,6,8,0.0001948576376593,6.78721057440753e-05,0.0004538075232869,7.989697275543073e-05,3.544762204477798e-05,0.0001687962712632,2.43886133528301,0.7092060707013933,0.0001149606649039,0.1208,True,C,30,0.6730285714285714
Schymkowitz,D_Thread,98,303,1,2,4.114549045424621e-05,0.0,0.0002468729427254,2.886701322900083e-05,0.0,0.0001269357705001,1.4253462984840422,0.587687745611813,1.227847722524538e-05,0.8597,True,C,30,1.0
Schymkowitz,D_Loop,98,303,4,5,0.0001032733137935,1.833348156828679e-05,0.000304203388256,5.6544574976565904e-05,1.8066893906261237e-05,0.0001506853054195,1.8264053419161137,0.6461937057753836,4.6728738817010274e-05,0.4781,True,C,30,0.8796666666666666
Emperical4,D_All,138,415,15,38,0.0004775300096069,0.0002574153758182,0.0008604347800101,0.0002677919767508,0.0001898917801406,0.0003828248863219,1.7832125345985148,0.640702969116136,0.0002097380328561,0.074,False,C,30,0.4439999999999999
Emperical4,D_Thread,138,415,2,17,3.625056193897005e-05,0.0,0.0001917522102564,0.0001108443568716,6.586487772101328e-05,0.0001811123234345,0.3270402117172732,0.2464433321836289,7.459379493268193e-05,0.1515,False,C,30,0.7700333333333332
Emperical4,D_Loop,138,415,8,24,0.0001414587137733,6.241295445106554e-05,0.0002814127508919,0.000150791882789,9.58122197554895e-05,0.0002248409378657,0.9381056271528372,0.4840322498474738,9.333169015670397e-06,0.8884,False,C,30,1.0
Emperical4RF,D_All,138,415,70,208,0.002442840614623,0.0019592515065739,0.0030385452519664,0.0026833607354087,0.0023548231586351,0.0030309911791318,0.9103660877153472,0.4765401215868922,0.0002405201207857,0.4716,False,C,30,0.8796666666666666
Emperical4RF,D_Thread,138,415,15,67,0.0003190833758663,0.0001776985957737,0.0005849586151099,0.0006372545608363,0.0004900304315857,0.0008215761126384,0.5007157193941169,0.3336512791351786,0.00031817118497,0.039,False,C,30,0.4439999999999999
Emperical4RF,D_Loop,138,415,39,114,0.0009523535612213,0.0006871334757301,0.0012902927924844,0.0011369037126216,0.0009373976857248,0.0013620776742336,0.8376730154441551,0.4558335505850013,0.0001845501514002,0.3823,False,C,30,0.8796666666666666
Emperical4LF,D_All,138,415,81,239,0.0031154179244198,0.0025760477427133,0.00375951663838,0.0034188301997665,0.0030498134798031,0.0038541091627045,0.9112526046577548,0.4767829236371042,0.0003034122753466,0.4452,False,C,30,0.8796666666666666
Emperical4LF,D_Thread,138,415,30,88,0.0006883176073524,0.0004737454908442,0.0010012064460089,0.0007435854262483,0.00059712088378,0.0009202897732351,0.9256738809759112,0.4807012704076296,5.526781889591236e-05,0.7334,False,C,30,0.98412
Emperical4LF,D_Loop,138,415,40,141,0.0009848580929862,0.0007192780512293,0.0013096031607055,0.001394219709822,0.0011800195216362,0.0016462001378658,0.7063865802843726,0.4139663241881871,0.0004093616168357,0.0675,False,C,30,0.4439999999999999
Emperical4,D_All,98,303,14,36,0.0005881089644473,0.0003068923264023,0.0010751991265399,0.000315029194027,0.0002242307926516,0.0004362962880399,1.866839567881324,0.6511838293277679,0.0002730797704203,0.0497,True,C,30,0.4439999999999999
Emperical4,D_Thread,98,303,2,17,5.104670966916192e-05,0.0,0.0002769048548961,0.0001518165283885,9.00395537882511e-05,0.0002468429218466,0.3362394741270239,0.2516311489351053,0.0001007698187194,0.1689,True,C,30,0.7700333333333332
Emperical4,D_Loop,98,303,8,24,0.0001991969642931,9.1483946926052e-05,0.0003987464900983,0.0002065301364932,0.0001339313866725,0.0003088595358505,0.9644934520228358,0.4909629253432727,7.333172200127386e-06,0.9355,True,C,30,1.0
Emperical4RF,D_All,98,303,60,182,0.002783323320725,0.0022281936815948,0.0034852888010167,0.0029780068221793,0.0026318819837082,0.0033714207744293,0.9346262406102354,0.4831042921838112,0.0001946835014542,0.6005,True,C,30,0.93678
Emperical4RF,D_Thread,98,303,15,67,0.0004493214884648,0.0002506003440719,0.000796775022284,0.0008728074018056,0.000673490215479,0.0011149062632219,0.5148002727009,0.3398469633115443,0.0004234859133407,0.0427,True,C,30,0.4439999999999999
Emperical4RF,D_Loop,98,303,39,114,0.0013410693004954,0.0009823725473729,0.0017986654192182,0.0015571453489701,0.0013045389786706,0.0018641583251071,0.8612357872579764,0.4627225594704326,0.0002160760484747,0.431,True,C,30,0.8796666666666666
Emperical4LF,D_All,98,303,67,205,0.0032463192303615,0.0026890625072636,0.0039575406154343,0.0035802764733607,0.0032139762956391,0.0039933680544918,0.9067230574275618,0.4755399867303534,0.0003339572429991,0.3955,True,C,30,0.8796666666666666
Emperical4LF,D_Thread,98,303,30,88,0.000969263569537,0.0006675696226927,0.0013643044749819,0.0010184420854556,0.0008261705329945,0.0012457524189276,0.95171201522318,0.4876293263554823,4.917851591855547e-05,0.8163,True,C,30,0.98412
Emperical4LF,D_Loop,98,303,40,141,0.0013868409880826,0.001035800915698,0.001822350045162,0.0019095748500862,0.0016384591467829,0.0022283106364923,0.7262564167202054,0.4207117840002319,0.0005227338620035,0.0683,True,C,30,0.4439999999999999
Emperical5,D_All,138,415,6,26,0.0002128252478994,6.054646408649735e-05,0.0005988239812338,0.0001803870968312,0.00011741959319,0.0002804505770729,1.1798252293986156,0.5412476254915691,3.243815106822212e-05,0.7436,False,C,30,0.98412
Emperical5,D_Thread,138,415,2,5,1.6199053975247847e-05,0.0,6.479621590099139e-05,4.3200685593952005e-05,1.342417021847837e-05,0.0001093235445721,0.3749721503844762,0.2727125420537606,2.700163161870416e-05,0.5217,False,C,30,0.8846217391304348
Emperical5,D_Loop,138,415,2,12,2.217370505562475e-05,0.0,0.0001006441223832,6.951737693083075e-05,3.6425040840733306e-05,0.000124942148537,0.3189663654554661,0.2418305529309843,4.7343671875206e-05,0.2212,False,C,30,0.817375
Emperical5RF,D_All,138,415,33,103,0.0008590103943674,0.0005851888180924,0.0012543651865797,0.0009997441810823,0.0008105637928022,0.001222148750847,0.859230201707585,0.462142988489772,0.0001407337867149,0.4946,False,C,30,0.8796666666666666
Emperical5RF,D_Thread,138,415,6,23,0.0001277572416148,4.0824127498861045e-05,0.000392492700617,0.0001939448929668,0.0001207103625795,0.0003081719698001,0.6587295992200424,0.3971289832470501,6.618765135202545e-05,0.4641,False,C,30,0.8796666666666666
Emperical5RF,D_Loop,138,415,18,51,0.000380837361462,0.000218823303864,0.0006450031140641,0.0003790064040552,0.0002762052974476,0.0005199609177672,1.0048309405520246,0.501204824919226,1.8309574068274027e-06,0.9875,False,C,30,1.0
Emperical5LF,D_All,138,415,26,125,0.0007286188786042,0.0004531551767914,0.001228712334614,0.001352580587212,0.0011026726412906,0.001713713171256,0.5386879609931825,0.3500956494424468,0.0006239617086078,0.0269,False,C,30,0.4439999999999999
Emperical5LF,D_Thread,138,415,6,26,6.758806003028005e-05,2.690271248572673e-05,0.0001510083208269,0.0002169070862538,0.0001397326867626,0.0003226205070308,0.3115991330554802,0.2375719266675512,0.0001493190262235,0.0656,False,C,30,0.4439999999999999
Emperical5LF,D_Loop,138,415,12,56,0.0001977837211735,0.0001011030905227,0.0003578609340699,0.0004190351882121,0.0003129703683651,0.0005603219325686,0.4719978816514608,0.320651196265254,0.0002212514670386,0.0499,False,C,30,0.4439999999999999
Emperical5,D_All,98,303,4,23,8.248829763257813e-05,2.2810912740655128e-05,0.0002290049703516,0.0001999185161043,0.0001265885081371,0.0003084440147206,0.4126095933482285,0.2920903236755198,0.0001174302184717,0.1649,True,C,30,0.7700333333333332
Emperical5,D_Thread,98,303,2,5,2.2810912740655128e-05,0.0,9.124365096262053e-05,5.9169255846501925e-05,2.053446018868894e-05,0.0001538575596869,0.385519682718871,0.2782491562749563,3.63583431058468e-05,0.5422,True,C,30,0.8874125
Emperical5,D_Loop,98,303,2,12,3.122419691506342e-05,0.0,0.0001410375731432,9.521356906367908e-05,4.942928711141153e-05,0.0001696132622013,0.327938519920208,0.2469530893191598,6.398937214861565e-05,0.2318,True,C,30,0.817375
Emperical5RF,D_All,98,303,26,91,0.0008304344601551,0.0005388512502871,0.0012599237239546,0.0010954643959757,0.0008832958256791,0.001338691042961,0.758066134514119,0.4311931841651836,0.0002650299358205,0.2432,True,C,30,0.817375
Emperical5RF,D_Thread,98,303,6,23,0.0001799030545188,5.608519593761077e-05,0.0005568477542395,0.0002656340943275,0.0001650672647827,0.0004136999151232,0.6772588999701714,0.4037891228254718,8.573103980869881e-05,0.4824,True,C,30,0.8796666666666666
Emperical5RF,D_Loop,98,303,18,51,0.0005362811824669,0.0003114942637613,0.0009064063917475,0.0005191011804716,0.0003794223390134,0.0007058500072937,1.0330956712132373,0.5081392311443681,1.7180001995293682e-05,0.9221,True,C,30,1.0
Emperical5LF,D_All,98,303,22,109,0.0006042678207212,0.0003794888141707,0.0009297590153253,0.0012997324196824,0.0010687966740739,0.0015811159164091,0.4649170949116633,0.3173675128282249,0.0006954645989611,0.0034,True,C,30,0.2652
