motif,D_type,Ess_n,NonEss_n,Ess_hits,NonEss_hits,Ess_mean,Ess_lower_ci,Ess_upper_ci,NonEss_mean,NonEss_lower_ci,NonEss_upper_ci,ratio,proportion,abs_diff,p_value,OnlyEnt,buff,spa,q_value
Emperical4RF,D_All,81,183,50,121,0.0028440919604162,0.0022463595790562,0.0036414501487755,0.0032407803678309,0.0027969465141913,0.0037508645470658,0.877594788171306,0.4674037197483086,0.0003966884074146,0.3592,True,C,20,0.990132
Emperical4RF,D_Thread,81,183,11,36,0.0003944730780725,0.000184697803916,0.000824873942341,0.0008004367553859,0.0005570588727806,0.0011174244267695,0.4928222941015893,0.3301279034007057,0.0004059636773134,0.0822,True,C,20,0.990132
Emperical4RF,D_Loop,81,183,30,68,0.001328564747515,0.000913305098883,0.0018613503601852,0.0015169333935971,0.0012017834482954,0.0019061917249254,0.8758227309931916,0.4669005852858334,0.0001883686460821,0.5512,True,C,20,0.990132
Emperical4LF,D_All,81,183,57,134,0.0036046489109691,0.0029217955699287,0.0044695893378738,0.0039806248892304,0.0034994199477559,0.0045096463602156,0.905548503382368,0.4752167167484901,0.0003759759782612,0.4286,True,C,20,0.990132
Emperical4LF,D_Thread,81,183,18,48,0.0007322031785295,0.0004426871026956,0.0011641223130925,0.0008679148808712,0.0006616323784161,0.0011446552260835,0.8436347787867701,0.4575932220924666,0.0001357117023416,0.5439,True,C,20,0.990132
Emperical4LF,D_Loop,81,183,32,80,0.0015828663702149,0.0011191900267874,0.0021779157703865,0.0018322758830653,0.0014738222717643,0.0022538729655385,0.8638799347000136,0.463484754901368,0.0002494095128504,0.4735,True,C,20,0.990132
Emperical5,D_All,105,243,5,19,0.0001635691643704,4.784649400301373e-05,0.0005372851457209,0.0002489590274671,0.000149529112768,0.0004112469912616,0.6570123848675266,0.3965042089411135,8.538986309665803e-05,0.4804,False,C,20,0.990132
Emperical5,D_Thread,105,243,2,5,2.129018522461145e-05,0.0,8.470297582811896e-05,7.377894864810733e-05,2.560469727231584e-05,0.0001929207480656,0.2885672080549173,0.223944243071735,5.248876342349588e-05,0.4294,False,C,20,0.990132
Emperical5,D_Loop,105,243,4,6,0.0001299161271838,2.8386913632815272e-05,0.0005235663272263,5.877739829447158e-05,2.110039389257728e-05,0.0001303425055149,2.2103075493919278,0.6885033646731409,7.113872888941516e-05,0.3598,False,C,20,0.990132
Emperical5RF,D_All,105,243,29,68,0.0009576556442743,0.0006472544117719,0.0013934562291457,0.0011579172355437,0.0009067234017388,0.00146099517792,0.8270501680758389,0.4526696543570274,0.0002002615912693,0.4253,False,C,20,0.990132
