Metric|Essential True Mean|Essential True 95% CI low|Essential True 95% CI high|Essential False Mean|Essential False 95% CI low|Essential False 95% CI high|Permutation Test p-value|n|Essential True n|Essential False n
Aromatic-Aromatic|0.16049382716049382|0.08641975308641975|0.25925925925925924|0.3333333333333333|0.2677595628415301|0.40437158469945356|0.003999600039996|2|81|183
Hydrophil-Hydrophil|0.6296296296296297|0.5185185185185185|0.7283950617283951|0.6338797814207651|0.5628415300546448|0.6994535519125683|1.0|2|81|183
Hydrophob-Aromatic|0.654320987654321|0.5432098765432098|0.7530864197530864|0.7978142076502732|0.7343104528033593|0.8524590163934426|0.0231976802319768|2|81|183
Hydrophob-Charged|0.7407407407407407|0.6296296296296297|0.8271604938271605|0.8087431693989071|0.7486338797814208|0.8579234972677595|0.27817218278172184|2|81|183
Hydrophob-NegCharged|0.4567901234567901|0.345679012345679|0.5679012345679012|0.5901639344262295|0.5191256830601093|0.6612021857923497|0.059194080591940805|2|81|183
Hydrophob-PosCharged|0.6666666666666666|0.5679012345679012|0.7654320987654321|0.6939890710382514|0.6229508196721312|0.7595628415300546|0.7693230676932307|2|81|183
PosCharged-PosCharged|0.18518518518518517|0.1111111111111111|0.2839506172839506|0.1092896174863388|0.07103825136612021|0.16393442622950818|0.14458554144585542|2|81|183
NegCharged-NegCharged|0.06172839506172839|0.024691358024691357|0.13580246913580246|0.04918032786885246|0.02185792349726776|0.08743169398907104|0.8747125287471252|2|81|183
FF-FY-SY-TY-HC|0.06172839506172839|0.024691358024691357|0.13580246913580246|0.25136612021857924|0.1912568306010929|0.31693989071038253|0.00019998000199980003|2|81|183
FF|0.0|||0.060109289617486336|0.03278688524590164|0.10382513661202186|0.034396560343965606|2|81|183
FY|0.024691358024691357|0.0|0.08641975308641975|0.10382513661202186|0.06557377049180328|0.15300546448087432|0.0425957404259574|2|81|183
TY|0.0|||0.04371584699453552|0.02185792349726776|0.08196721311475409|0.096990300969903|2|81|183
SY|0.0|||0.060109289617486336|0.03278688524590164|0.10382513661202186|0.030396960303969604|2|81|183
HC|0.0|||0.060109289617486336|0.03278688524590164|0.10382513661202186|0.035596440355964404|2|81|183
MR|0.06172839506172839|0.024691358024691357|0.13580246913580246|0.00546448087431694|0.0|0.0273224043715847|0.023797620237976203|2|81|183
Hydrophob-Hydrophob|0.7654320987654321|0.6666666666666666|0.8518518518518519|0.8743169398907104|0.819672131147541|0.9180327868852459|0.039996000399960006|3|81|183
StrHydrophob-StrHydrophob|0.6049382716049383|0.49382716049382713|0.7037037037037037|0.726775956284153|0.6612021857923497|0.7868852459016393|0.07599240075992401|3|81|183
Aromatic-Aromatic|0.08641975308641975|0.037037037037037035|0.16049382716049382|0.19672131147540983|0.14207650273224043|0.2568306010928962|0.0321967803219678|3|81|183
Hydrophil-Hydrophil|0.5308641975308642|0.41975308641975306|0.6419753086419753|0.546448087431694|0.47540983606557374|0.6174863387978142|0.8997100289971003|3|81|183
Hydrophob-Aromatic|0.5308641975308642|0.41975308641975306|0.6419753086419753|0.73224043715847|0.6612021857923497|0.7923497267759563|0.0033996600339966003|3|81|183
Hydrophob-Charged|0.7037037037037037|0.5925925925925926|0.8024691358024691|0.7540983606557377|0.6885245901639344|0.8142076502732241|0.48775122487751227|3|81|183
Hydrophob-NegCharged|0.37037037037037035|0.2716049382716049|0.48148148148148145|0.5027322404371585|0.43169398907103823|0.5737704918032787|0.06179382061793821|3|81|183
Hydrophob-PosCharged|0.6049382716049383|0.49382716049382713|0.7037037037037037|0.6065573770491803|0.5355191256830601|0.6775956284153005|1.0|3|81|183
PosCharged-PosCharged|0.12345679012345678|0.06172839506172839|0.20987654320987653|0.06557377049180328|0.03825136612021858|0.1092896174863388|0.1917808219178082|3|81|183
NegCharged-NegCharged|0.012345679012345678|0.0|0.07407407407407407|0.01092896174863388|0.0|0.03825136612021858|1.0|3|81|183
FF-FY-SY-TY-HC|0.024691358024691357|0.0|0.08641975308641975|0.1912568306010929|0.1366120218579235|0.25136612021857924|0.0005999400059994001|3|81|183
FF|0.0|||0.0273224043715847|0.01092896174863388|0.060109289617486336|0.3107689231076892|3|81|183
FY|0.012345679012345678|0.0|0.06172839506172839|0.04918032786885246|0.02185792349726776|0.08743169398907104|0.2605739426057394|3|81|183
TY|0.0|||0.01639344262295082|0.00546448087431694|0.04371584699453552|0.6611338866113389|3|81|183
SY|0.0|||0.01092896174863388|0.0|0.03825136612021858|0.9713028697130287|3|81|183
HC|0.0|||0.01092896174863388|0.0|0.03825136612021858|0.9599040095990401|3|81|183
MR|0.037037037037037035|0.012345679012345678|0.09876543209876543|0.00546448087431694|0.0|0.03278688524590164|0.17898210178982102|3|81|183
Hydrophob-Hydrophob|0.7160493827160493|0.6172839506172839|0.8024691358024691|0.819672131147541|0.7595628415300546|0.8688524590163934|0.0827917208279172|4|81|183
StrHydrophob-StrHydrophob|0.5555555555555556|0.4444444444444444|0.6666666666666666|0.6502732240437158|0.5792349726775956|0.7158469945355191|0.19058094190580943|4|81|183
Aromatic-Aromatic|0.06172839506172839|0.024691358024691357|0.13580246913580246|0.15846994535519127|0.1092896174863388|0.21311475409836064|0.039196080391960805|4|81|183
Hydrophil-Hydrophil|0.37037037037037035|0.2716049382716049|0.48148148148148145|0.43169398907103823|0.36065573770491804|0.5081967213114754|0.42455754424557546|4|81|183
Hydrophob-Aromatic|0.48148148148148145|0.37037037037037035|0.5925925925925926|0.6612021857923497|0.5901639344262295|0.726775956284153|0.009999000099990002|4|81|183
Hydrophob-Charged|0.6419753086419753|0.5308641975308642|0.7407407407407407|0.6666666666666666|0.5956284153005464|0.73224043715847|0.7917208279172083|4|81|183
Hydrophob-NegCharged|0.2962962962962963|0.19753086419753085|0.4074074074074074|0.41530054644808745|0.3442622950819672|0.48633879781420764|0.08739126087391261|4|81|183
Hydrophob-PosCharged|0.5308641975308642|0.41975308641975306|0.6296296296296297|0.5409836065573771|0.46994535519125685|0.6120218579234973|0.9577042295770423|4|81|183
PosCharged-PosCharged|0.04938271604938271|0.012345679012345678|0.1111111111111111|0.04371584699453552|0.02185792349726776|0.08196721311475409|1.0|4|81|183
NegCharged-NegCharged|0.0|||0.0|||1.0|4|81|183
FF-FY-SY-TY-HC|0.012345679012345678|0.0|0.06172839506172839|0.11475409836065574|0.0718986787598861|0.16939890710382513|0.004999500049995001|4|81|183
