Metric|Essential True Mean|Essential True 95% CI low|Essential True 95% CI high|Essential False Mean|Essential False 95% CI low|Essential False 95% CI high|Permutation Test p-value|n|Essential True n|Essential False n
StrHydrophob-StrHydrophob|0.6818181818181818|0.5227272727272727|0.8181818181818182|0.7938144329896907|0.7010309278350515|0.865979381443299|0.21737826217378262|2|44|97
Aromatic-Aromatic|0.09090909090909091|0.022727272727272728|0.20454545454545456|0.3402061855670103|0.24742268041237114|0.44329896907216493|0.0029997000299970002|2|44|97
Hydrophil-Hydrophil|0.5|0.3409090909090909|0.6363636363636364|0.6391752577319587|0.5360824742268041|0.7319587628865979|0.17178282171782822|2|44|97
Hydrophob-Aromatic|0.5681818181818182|0.4090909090909091|0.7045454545454546|0.8247422680412371|0.7422680412371134|0.8865979381443299|0.0035996400359964|2|44|97
Hydrophob-Charged|0.6363636363636364|0.5|0.7727272727272727|0.8041237113402062|0.7216494845360825|0.8762886597938144|0.0565943405659434|2|44|97
Hydrophob-NegCharged|0.45454545454545453|0.3181818181818182|0.5909090909090909|0.6082474226804123|0.5051546391752577|0.7010309278350515|0.12418758124187582|2|44|97
Hydrophob-PosCharged|0.5454545454545454|0.4090909090909091|0.6818181818181818|0.6597938144329897|0.5567010309278351|0.7525773195876289|0.2683731626837316|2|44|97
PosCharged-PosCharged|0.1590909090909091|0.06818181818181818|0.29545454545454547|0.1134020618556701|0.061855670103092786|0.18556701030927836|0.6155384461553844|2|44|97
NegCharged-NegCharged|0.045454545454545456|0.0|0.1590909090909091|0.061855670103092786|0.020618556701030927|0.12371134020618557|1.0|2|44|97
FF-FY-SY-TY-HC|0.06818181818181818|0.022727272727272728|0.18181818181818182|0.26804123711340205|0.18556701030927836|0.36082474226804123|0.0103989601039896|2|44|97
FF|0.0|||0.07216494845360824|0.030927835051546393|0.14432989690721648|0.136986301369863|2|44|97
FY|0.022727272727272728|0.0|0.13636363636363635|0.10309278350515463|0.05154639175257732|0.17525773195876287|0.17798220177982202|2|44|97
TY|0.0|||0.05154639175257732|0.020618556701030927|0.1134020618556701|0.30156984301569845|2|44|97
SY|0.0|||0.07216494845360824|0.030927835051546393|0.13402061855670103|0.12938706129387062|2|44|97
HC|0.0|||0.07216494845360824|0.030927835051546393|0.14432989690721648|0.1311868813118688|2|44|97
MR|0.06818181818181818|0.022727272727272728|0.18181818181818182|0.010309278350515464|0.0|0.05154639175257732|0.1787821217878212|2|44|97
Hydrophob-Hydrophob|0.6590909090909091|0.5|0.7954545454545454|0.8865979381443299|0.8144329896907216|0.9381443298969072|0.003999600039996|3|44|97
StrHydrophob-StrHydrophob|0.5454545454545454|0.4090909090909091|0.6818181818181818|0.7319587628865979|0.6391752577319587|0.8144329896907216|0.0435956404359564|3|44|97
Aromatic-Aromatic|0.045454545454545456|0.0|0.1590909090909091|0.20618556701030927|0.13402061855670103|0.29896907216494845|0.0187981201879812|3|44|97
Hydrophil-Hydrophil|0.4318181818181818|0.29545454545454547|0.5909090909090909|0.5257731958762887|0.422680412371134|0.6288659793814433|0.39616038396160386|3|44|97
Hydrophob-Aromatic|0.5227272727272727|0.38636363636363635|0.6818181818181818|0.7216494845360825|0.6288659793814433|0.8041237113402062|0.0365963403659634|3|44|97
Hydrophob-Charged|0.5909090909090909|0.4318181818181818|0.7272727272727273|0.7422680412371134|0.6494845360824743|0.8247422680412371|0.11038896110388961|3|44|97
Hydrophob-NegCharged|0.36363636363636365|0.22727272727272727|0.5227272727272727|0.5154639175257731|0.41237113402061853|0.6185567010309279|0.135986401359864|3|44|97
Hydrophob-PosCharged|0.5227272727272727|0.36363636363636365|0.6590909090909091|0.5463917525773195|0.44329896907216493|0.6391752577319587|0.9403059694030597|3|44|97
PosCharged-PosCharged|0.11363636363636363|0.045454545454545456|0.22727272727272727|0.08247422680412371|0.041237113402061855|0.15463917525773196|0.7475252474752525|3|44|97
NegCharged-NegCharged|0.022727272727272728|0.0|0.11363636363636363|0.020618556701030927|0.0|0.07216494845360824|1.0|3|44|97
